group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | 2,1687,208,1141,279,59,0.7790262172284644,0.1964788732394366,0.2209737827715356,0.2886781268524007
White | 3,1511,174,1068,208,61,0.7404255319148936,0.16300940438871472,0.25957446808510637,0.2528127068166777
Black | 2,1246,128,882,203,33,0.7950310559006211,0.1870967741935484,0.20496894409937888,0.26565008025682185
White | 4,949,80,729,116,24,0.7692307692307693,0.13727810650887573,0.23076923076923078,0.2065331928345627
Black | 1,769,103,500,128,38,0.7304964539007093,0.20382165605095542,0.2695035460992908,0.30039011703511054
Black | 3,724,78,516,108,22,0.78,0.17307692307692307,0.22,0.2569060773480663
White | 1,526,44,389,76,17,0.7213114754098361,0.16344086021505377,0.2786885245901639,0.22813688212927757
White | 5,518,32,429,43,14,0.6956521739130435,0.09110169491525423,0.30434782608695654,0.14478764478764478
Unknown or Legacy | 2,363,22,271,59,11,0.6666666666666666,0.1787878787878788,0.3333333333333333,0.2231404958677686
Black | 4,304,29,224,41,10,0.7435897435897436,0.15471698113207547,0.2564102564102564,0.23026315789473684
Unknown or Legacy | 3,274,27,201,38,8,0.7714285714285715,0.1589958158995816,0.22857142857142856,0.23722627737226276
Black | 0,258,22,190,35,11,0.6666666666666666,0.15555555555555556,0.3333333333333333,0.22093023255813954
East/Southeast Asian | 2,231,8,193,18,12,0.4,0.08530805687203792,0.6,0.11255411255411256
South Asian | 2,228,16,187,20,5,0.7619047619047619,0.0966183574879227,0.23809523809523808,0.15789473684210525
Middle-Eastern | 2,201,5,172,17,7,0.4166666666666667,0.08994708994708994,0.5833333333333334,0.10945273631840796
East/Southeast Asian | 3,196,8,164,21,3,0.7272727272727273,0.11351351351351352,0.2727272727272727,0.14795918367346939
Unknown or Legacy | 1,189,15,125,47,2,0.8823529411764706,0.27325581395348836,0.11764705882352941,0.328042328042328
White | 0,161,5,140,13,3,0.625,0.08496732026143791,0.375,0.11180124223602485
South Asian | 3,158,5,140,7,6,0.45454545454545453,0.047619047619047616,0.5454545454545454,0.0759493670886076
Unknown or Legacy | 4,155,8,126,13,8,0.5,0.09352517985611511,0.5,0.13548387096774195
White | 6,149,2,141,6,0,1.0,0.04081632653061224,0.0,0.053691275167785234
East/Southeast Asian | 1,146,10,125,6,5,0.6666666666666666,0.04580152671755725,0.3333333333333333,0.1095890410958904
Indigenous | 2,146,18,105,18,5,0.782608695652174,0.14634146341463414,0.21739130434782608,0.2465753424657534
Middle-Eastern | 3,143,3,120,9,11,0.21428571428571427,0.06976744186046512,0.7857142857142857,0.08391608391608392
South Asian | 1,140,7,120,9,4,0.6363636363636364,0.06976744186046512,0.36363636363636365,0.11428571428571428
East/Southeast Asian | 4,138,7,119,7,5,0.5833333333333334,0.05555555555555555,0.4166666666666667,0.10144927536231885
Latino | 2,135,5,114,12,4,0.5555555555555556,0.09523809523809523,0.4444444444444444,0.1259259259259259
Black | 5,132,12,111,8,1,0.9230769230769231,0.06722689075630252,0.07692307692307693,0.15151515151515152
Middle-Eastern | 1,132,8,109,10,5,0.6153846153846154,0.08403361344537816,0.38461538461538464,0.13636363636363635
Indigenous | 3,122,12,93,14,3,0.8,0.1308411214953271,0.2,0.21311475409836064
South Asian | 4,108,1,99,6,2,0.3333333333333333,0.05714285714285714,0.6666666666666666,0.06481481481481481
Latino | 3,82,0,72,6,4,0.0,0.07692307692307693,1.0,0.07317073170731707
Unknown or Legacy | 5,82,2,74,5,1,0.6666666666666666,0.06329113924050633,0.3333333333333333,0.08536585365853659
Middle-Eastern | 4,73,3,64,3,3,0.5,0.04477611940298507,0.5,0.0821917808219178
East/Southeast Asian | 5,71,3,61,4,3,0.5,0.06153846153846154,0.5,0.09859154929577464
Indigenous | 1,56,7,40,6,3,0.7,0.13043478260869565,0.3,0.23214285714285715
Latino | 1,54,0,47,3,4,0.0,0.06,1.0,0.05555555555555555
Indigenous | 4,50,5,40,4,1,0.8333333333333334,0.09090909090909091,0.16666666666666666,0.18
South Asian | 5,42,0,40,1,1,0.0,0.024390243902439025,1.0,0.023809523809523808
Unknown or Legacy | 0,38,1,30,5,2,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.15789473684210525
Middle-Eastern | 0,37,0,33,3,1,0.0,0.08333333333333333,1.0,0.08108108108108109
East/Southeast Asian | 6,36,0,36,0,0,,0.0,,0.0
Latino | 4,36,2,31,3,0,1.0,0.08823529411764706,0.0,0.1388888888888889
Unknown or Legacy | 6,34,0,33,0,1,0.0,0.0,1.0,0.0
Middle-Eastern | 5,31,1,30,0,0,1.0,0.0,0.0,0.03225806451612903
Black | 6,31,2,28,1,0,1.0,0.034482758620689655,0.0,0.0967741935483871
South Asian | 0,24,1,19,4,0,1.0,0.17391304347826086,0.0,0.20833333333333334
East/Southeast Asian | 0,21,0,17,4,0,,0.19047619047619047,,0.19047619047619047
Latino | 5,20,0,17,1,2,0.0,0.05555555555555555,1.0,0.05
Latino | 0,15,0,12,0,3,0.0,0.0,1.0,0.0
South Asian | 6,12,0,11,0,1,0.0,0.0,1.0,0.0
Indigenous | 5,12,2,10,0,0,1.0,0.0,0.0,0.16666666666666666
Latino | 6,8,0,8,0,0,,0.0,,0.0
Middle-Eastern | 6,6,0,6,0,0,,0.0,,0.0
Indigenous | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
