group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M | 2,1266,150,873,202,41,0.7853403141361257,0.18790697674418605,0.21465968586387435,0.27804107424960506
White | M | 3,1182,141,829,175,37,0.7921348314606742,0.17430278884462153,0.20786516853932585,0.2673434856175973
Black | M | 2,1037,117,715,177,28,0.8068965517241379,0.1984304932735426,0.19310344827586207,0.28351012536162007
White | M | 4,756,64,578,98,16,0.8,0.14497041420118342,0.2,0.21428571428571427
Black | M | 3,622,73,430,100,19,0.7934782608695652,0.18867924528301888,0.20652173913043478,0.27813504823151125
Black | M | 1,619,93,382,113,31,0.75,0.22828282828282828,0.25,0.33279483037156704
White | M | 5,443,31,363,35,14,0.6888888888888889,0.08793969849246232,0.3111111111111111,0.1489841986455982
White | F | 2,421,58,268,77,18,0.7631578947368421,0.22318840579710145,0.23684210526315788,0.32066508313539194
White | M | 1,394,37,288,55,14,0.7254901960784313,0.16034985422740525,0.27450980392156865,0.233502538071066
White | F | 3,329,33,239,33,24,0.5789473684210527,0.1213235294117647,0.42105263157894735,0.2006079027355623
Unknown or Legacy | M | 2,297,19,213,56,9,0.6785714285714286,0.20817843866171004,0.32142857142857145,0.25252525252525254
Black | M | 4,256,23,186,40,7,0.7666666666666667,0.17699115044247787,0.23333333333333334,0.24609375
Unknown or Legacy | M | 3,222,23,159,32,8,0.7419354838709677,0.16753926701570682,0.25806451612903225,0.24774774774774774
Black | F | 2,209,11,167,26,5,0.6875,0.13471502590673576,0.3125,0.17703349282296652
South Asian | M | 2,201,14,164,18,5,0.7368421052631579,0.0989010989010989,0.2631578947368421,0.15920398009950248
East/Southeast Asian | M | 2,195,8,159,17,11,0.42105263157894735,0.09659090909090909,0.5789473684210527,0.1282051282051282
White | F | 4,193,16,151,18,8,0.6666666666666666,0.10650887573964497,0.3333333333333333,0.17616580310880828
Black | M | 0,185,21,128,28,8,0.7241379310344828,0.1794871794871795,0.27586206896551724,0.2648648648648649
Middle-Eastern | M | 2,181,4,155,16,6,0.4,0.0935672514619883,0.6,0.11049723756906077
East/Southeast Asian | M | 3,162,8,133,18,3,0.7272727272727273,0.11920529801324503,0.2727272727272727,0.16049382716049382
Unknown or Legacy | M | 1,156,12,96,46,2,0.8571428571428571,0.323943661971831,0.14285714285714285,0.3717948717948718
Black | F | 1,150,10,118,15,7,0.5882352941176471,0.11278195488721804,0.4117647058823529,0.16666666666666666
South Asian | M | 3,133,4,117,7,5,0.4444444444444444,0.056451612903225805,0.5555555555555556,0.08270676691729323
White | F | 1,132,7,101,21,3,0.7,0.1721311475409836,0.3,0.21212121212121213
Unknown or Legacy | M | 4,131,6,105,12,8,0.42857142857142855,0.10256410256410256,0.5714285714285714,0.13740458015267176
Middle-Eastern | M | 3,126,3,104,8,11,0.21428571428571427,0.07142857142857142,0.7857142857142857,0.0873015873015873
East/Southeast Asian | M | 1,120,9,100,6,5,0.6428571428571429,0.05660377358490566,0.35714285714285715,0.125
Black | M | 5,118,12,97,8,1,0.9230769230769231,0.0761904761904762,0.07692307692307693,0.1694915254237288
White | M | 0,117,4,101,10,2,0.6666666666666666,0.09009009009009009,0.3333333333333333,0.11965811965811966
South Asian | M | 1,117,7,98,9,3,0.7,0.08411214953271028,0.3,0.13675213675213677
East/Southeast Asian | M | 4,116,6,99,7,4,0.6,0.0660377358490566,0.4,0.11206896551724138
Middle-Eastern | M | 1,116,7,96,9,4,0.6363636363636364,0.08571428571428572,0.36363636363636365,0.13793103448275862
White | M | 6,115,2,107,6,0,1.0,0.05309734513274336,0.0,0.06956521739130435
Latino | M | 2,113,4,93,12,4,0.5,0.11428571428571428,0.5,0.1415929203539823
