group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M | 2,3378,330,2435,508,105,0.7586206896551724,0.1726129799524295,0.2413793103448276,0.24807578448786263
M | 3,2601,263,1893,356,89,0.7471590909090909,0.15829257447754558,0.2528409090909091,0.2379853902345252
M | 1,1598,171,1117,246,64,0.7276595744680852,0.18048422597212033,0.2723404255319149,0.2609511889862328
M | 4,1479,109,1158,173,39,0.7364864864864865,0.12997746055597295,0.2635135135135135,0.19066937119675456
F | 2,859,80,630,118,31,0.7207207207207207,0.15775401069518716,0.27927927927927926,0.23050058207217694
M | 5,785,51,661,53,20,0.7183098591549296,0.0742296918767507,0.28169014084507044,0.13248407643312102
F | 3,609,44,481,55,29,0.6027397260273972,0.10261194029850747,0.3972602739726027,0.1625615763546798
F | 1,414,23,338,39,14,0.6216216216216216,0.10344827586206896,0.3783783783783784,0.1497584541062802
M | 0,411,27,317,52,15,0.6428571428571429,0.14092140921409213,0.35714285714285715,0.1922141119221411
F | 4,334,26,274,20,14,0.65,0.06802721088435375,0.35,0.1377245508982036
M | 6,225,4,211,8,2,0.6666666666666666,0.0365296803652968,0.3333333333333333,0.05333333333333334
F | 0,146,2,127,12,5,0.2857142857142857,0.08633093525179857,0.7142857142857143,0.0958904109589041
F | 5,123,1,111,9,2,0.3333333333333333,0.075,0.6666666666666666,0.08130081300813008
F | 6,54,0,54,0,0,,0.0,,0.0
