group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | 2,1687,205,1147,273,62,0.7677902621722846,0.19225352112676056,0.23220973782771537,0.2833432128037937
White | 3,1511,176,1068,208,59,0.7489361702127659,0.16300940438871472,0.251063829787234,0.2541363335539378
Black | 2,1246,115,900,185,46,0.7142857142857143,0.17050691244239632,0.2857142857142857,0.24077046548956663
White | 4,949,81,740,105,23,0.7788461538461539,0.1242603550295858,0.22115384615384615,0.19599578503688092
Black | 1,769,93,513,115,48,0.6595744680851063,0.18312101910828024,0.3404255319148936,0.270481144343303
Black | 3,724,75,543,81,25,0.75,0.12980769230769232,0.25,0.2154696132596685
White | 1,526,43,383,82,18,0.7049180327868853,0.17634408602150536,0.29508196721311475,0.2376425855513308
White | 5,518,33,427,45,13,0.717391304347826,0.09533898305084745,0.2826086956521739,0.15057915057915058
Unknown or Legacy | 2,363,21,281,49,12,0.6363636363636364,0.1484848484848485,0.36363636363636365,0.1928374655647383
Black | 4,304,26,233,32,13,0.6666666666666666,0.12075471698113208,0.3333333333333333,0.19078947368421054
Unknown or Legacy | 3,274,27,204,35,8,0.7714285714285715,0.14644351464435146,0.22857142857142856,0.22627737226277372
Black | 0,258,22,182,43,11,0.6666666666666666,0.19111111111111112,0.3333333333333333,0.25193798449612403
East/Southeast Asian | 2,231,9,193,18,11,0.45,0.08530805687203792,0.55,0.11688311688311688
South Asian | 2,228,19,184,23,2,0.9047619047619048,0.1111111111111111,0.09523809523809523,0.18421052631578946
Middle-Eastern | 2,201,8,167,22,4,0.6666666666666666,0.1164021164021164,0.3333333333333333,0.14925373134328357
East/Southeast Asian | 3,196,8,162,23,3,0.7272727272727273,0.12432432432432433,0.2727272727272727,0.15816326530612246
Unknown or Legacy | 1,189,14,132,40,3,0.8235294117647058,0.23255813953488372,0.17647058823529413,0.2857142857142857
White | 0,161,3,134,19,5,0.375,0.12418300653594772,0.625,0.13664596273291926
South Asian | 3,158,6,129,18,5,0.5454545454545454,0.12244897959183673,0.45454545454545453,0.1518987341772152
Unknown or Legacy | 4,155,9,126,13,7,0.5625,0.09352517985611511,0.4375,0.14193548387096774
White | 6,149,2,140,7,0,1.0,0.047619047619047616,0.0,0.06040268456375839
East/Southeast Asian | 1,146,10,121,10,5,0.6666666666666666,0.07633587786259542,0.3333333333333333,0.136986301369863
Indigenous | 2,146,19,112,11,4,0.8260869565217391,0.08943089430894309,0.17391304347826086,0.2054794520547945
Middle-Eastern | 3,143,5,115,14,9,0.35714285714285715,0.10852713178294573,0.6428571428571429,0.13286713286713286
South Asian | 1,140,10,111,18,1,0.9090909090909091,0.13953488372093023,0.09090909090909091,0.2
East/Southeast Asian | 4,138,6,116,10,6,0.5,0.07936507936507936,0.5,0.11594202898550725
Latino | 2,135,6,102,24,3,0.6666666666666666,0.19047619047619047,0.3333333333333333,0.2222222222222222
Black | 5,132,12,110,9,1,0.9230769230769231,0.07563025210084033,0.07692307692307693,0.1590909090909091
Middle-Eastern | 1,132,9,103,16,4,0.6923076923076923,0.13445378151260504,0.3076923076923077,0.1893939393939394
Indigenous | 3,122,12,97,10,3,0.8,0.09345794392523364,0.2,0.18032786885245902
South Asian | 4,108,3,96,9,0,1.0,0.08571428571428572,0.0,0.1111111111111111
Latino | 3,82,1,59,19,3,0.25,0.24358974358974358,0.75,0.24390243902439024
Unknown or Legacy | 5,82,1,75,4,2,0.3333333333333333,0.05063291139240506,0.6666666666666666,0.06097560975609756
Middle-Eastern | 4,73,3,61,6,3,0.5,0.08955223880597014,0.5,0.1232876712328767
East/Southeast Asian | 5,71,4,59,6,2,0.6666666666666666,0.09230769230769231,0.3333333333333333,0.14084507042253522
Indigenous | 1,56,6,40,6,4,0.6,0.13043478260869565,0.4,0.21428571428571427
Latino | 1,54,1,44,6,3,0.25,0.12,0.75,0.12962962962962962
Indigenous | 4,50,5,38,6,1,0.8333333333333334,0.13636363636363635,0.16666666666666666,0.22
South Asian | 5,42,0,36,5,1,0.0,0.12195121951219512,1.0,0.11904761904761904
Unknown or Legacy | 0,38,1,30,5,2,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.15789473684210525
Middle-Eastern | 0,37,0,32,4,1,0.0,0.1111111111111111,1.0,0.10810810810810811
East/Southeast Asian | 6,36,0,35,1,0,,0.027777777777777776,,0.027777777777777776
Latino | 4,36,2,30,4,0,1.0,0.11764705882352941,0.0,0.16666666666666666
Unknown or Legacy | 6,34,0,33,0,1,0.0,0.0,1.0,0.0
Middle-Eastern | 5,31,1,28,2,0,1.0,0.06666666666666667,0.0,0.0967741935483871
Black | 6,31,2,28,1,0,1.0,0.034482758620689655,0.0,0.0967741935483871
South Asian | 0,24,1,19,4,0,1.0,0.17391304347826086,0.0,0.20833333333333334
East/Southeast Asian | 0,21,0,17,4,0,,0.19047619047619047,,0.19047619047619047
Latino | 5,20,1,17,1,1,0.5,0.05555555555555555,0.5,0.1
Latino | 0,15,2,11,1,1,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.2
South Asian | 6,12,0,11,0,1,0.0,0.0,1.0,0.0
Indigenous | 5,12,2,9,1,0,1.0,0.1,0.0,0.25
Latino | 6,8,0,8,0,0,,0.0,,0.0
Middle-Eastern | 6,6,0,6,0,0,,0.0,,0.0
Indigenous | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
