group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M | 2,1266,145,879,196,46,0.7591623036649214,0.18232558139534882,0.24083769633507854,0.2693522906793049
White | M | 3,1182,138,834,170,40,0.7752808988764045,0.1693227091633466,0.2247191011235955,0.26057529610829105
Black | M | 2,1037,105,735,157,40,0.7241379310344828,0.17600896860986548,0.27586206896551724,0.25265188042430087
White | M | 4,756,62,586,90,18,0.775,0.13313609467455623,0.225,0.20105820105820105
Black | M | 3,622,69,456,74,23,0.75,0.13962264150943396,0.25,0.22990353697749197
Black | M | 1,619,81,402,93,43,0.6532258064516129,0.18787878787878787,0.3467741935483871,0.28109854604200324
White | M | 5,443,32,361,37,13,0.7111111111111111,0.09296482412060302,0.28888888888888886,0.15575620767494355
White | F | 2,421,60,268,77,16,0.7894736842105263,0.22318840579710145,0.21052631578947367,0.3254156769596199
White | M | 1,394,36,283,60,15,0.7058823529411765,0.1749271137026239,0.29411764705882354,0.2436548223350254
White | F | 3,329,38,234,38,19,0.6666666666666666,0.13970588235294118,0.3333333333333333,0.23100303951367782
Unknown or Legacy | M | 2,297,18,223,46,10,0.6428571428571429,0.17100371747211895,0.35714285714285715,0.21548821548821548
Black | M | 4,256,21,196,30,9,0.7,0.13274336283185842,0.3,0.19921875
Unknown or Legacy | M | 3,222,23,162,29,8,0.7419354838709677,0.1518324607329843,0.25806451612903225,0.23423423423423423
Black | F | 2,209,10,165,28,6,0.625,0.14507772020725387,0.375,0.18181818181818182
South Asian | M | 2,201,17,162,20,2,0.8947368421052632,0.10989010989010989,0.10526315789473684,0.18407960199004975
East/Southeast Asian | M | 2,195,8,160,16,11,0.42105263157894735,0.09090909090909091,0.5789473684210527,0.12307692307692308
White | F | 4,193,19,154,15,5,0.7916666666666666,0.08875739644970414,0.20833333333333334,0.17616580310880828
Black | M | 0,185,20,126,30,9,0.6896551724137931,0.19230769230769232,0.3103448275862069,0.2702702702702703
Middle-Eastern | M | 2,181,7,151,20,3,0.7,0.11695906432748537,0.3,0.14917127071823205
East/Southeast Asian | M | 3,162,8,130,21,3,0.7272727272727273,0.1390728476821192,0.2727272727272727,0.17901234567901234
Unknown or Legacy | M | 1,156,11,105,37,3,0.7857142857142857,0.2605633802816901,0.21428571428571427,0.3076923076923077
Black | F | 1,150,12,111,22,5,0.7058823529411765,0.16541353383458646,0.29411764705882354,0.22666666666666666
South Asian | M | 3,133,4,108,16,5,0.4444444444444444,0.12903225806451613,0.5555555555555556,0.15037593984962405
White | F | 1,132,7,100,22,3,0.7,0.18032786885245902,0.3,0.2196969696969697
Unknown or Legacy | M | 4,131,7,105,12,7,0.5,0.10256410256410256,0.5,0.1450381679389313
Middle-Eastern | M | 3,126,5,100,12,9,0.35714285714285715,0.10714285714285714,0.6428571428571429,0.1349206349206349
East/Southeast Asian | M | 1,120,9,99,7,5,0.6428571428571429,0.0660377358490566,0.35714285714285715,0.13333333333333333
