group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,418,3145,575,135,0.755877034358047,0.15456989247311828,0.244122965641953,0.2323894219517903
Black | M,2864,310,2036,393,125,0.7126436781609196,0.16179497735693701,0.28735632183908044,0.2454608938547486
White | F,1228,125,894,164,45,0.7352941176470589,0.15500945179584122,0.2647058823529412,0.23534201954397393
Unknown or Legacy | M,936,61,710,133,32,0.6559139784946236,0.15776986951364175,0.34408602150537637,0.20726495726495728
East/Southeast Asian | M,695,33,574,63,25,0.5689655172413793,0.0989010989010989,0.43103448275862066,0.1381294964028777
South Asian | M,610,34,498,68,10,0.7727272727272727,0.12014134275618374,0.22727272727272727,0.16721311475409836
Black | F,600,35,473,73,19,0.6481481481481481,0.1336996336996337,0.35185185185185186,0.18
Middle-Eastern | M,552,24,453,57,18,0.5714285714285714,0.11176470588235295,0.42857142857142855,0.14673913043478262
Latino | M,290,11,222,47,10,0.5238095238095238,0.17472118959107807,0.47619047619047616,0.2
Indigenous | M,257,35,187,27,8,0.813953488372093,0.1261682242990654,0.18604651162790697,0.24124513618677043
Unknown or Legacy | F,199,12,171,13,3,0.8,0.07065217391304347,0.2,0.12562814070351758
East/Southeast Asian | F,144,4,129,9,2,0.6666666666666666,0.06521739130434782,0.3333333333333333,0.09027777777777778
Indigenous | F,135,9,114,8,4,0.6923076923076923,0.06557377049180328,0.3076923076923077,0.1259259259259259
South Asian | F,102,5,88,9,0,1.0,0.09278350515463918,0.0,0.13725490196078433
Middle-Eastern | F,71,2,59,7,3,0.4,0.10606060606060606,0.6,0.1267605633802817
Latino | F,60,2,49,8,1,0.6666666666666666,0.14035087719298245,0.3333333333333333,0.16666666666666666
