group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M | 2,3378,318,2460,483,117,0.7310344827586207,0.16411824668705402,0.2689655172413793,0.23712255772646537
M | 3,2601,259,1903,346,93,0.7357954545454546,0.15384615384615385,0.26420454545454547,0.23260284505959247
M | 1,1598,160,1128,235,75,0.6808510638297872,0.1724137931034483,0.3191489361702128,0.24718397997496871
M | 4,1479,106,1165,166,42,0.7162162162162162,0.1247182569496619,0.28378378378378377,0.1839080459770115
F | 2,859,84,626,122,27,0.7567567567567568,0.16310160427807488,0.24324324324324326,0.239813736903376
M | 5,785,52,651,63,19,0.7323943661971831,0.08823529411764706,0.2676056338028169,0.1464968152866242
F | 3,609,51,474,62,22,0.6986301369863014,0.11567164179104478,0.3013698630136986,0.18555008210180624
F | 1,414,26,319,58,11,0.7027027027027027,0.15384615384615385,0.2972972972972973,0.2028985507246377
M | 0,411,27,309,60,15,0.6428571428571429,0.16260162601626016,0.35714285714285715,0.2116788321167883
F | 4,334,29,275,19,11,0.725,0.06462585034013606,0.275,0.1437125748502994
M | 6,225,4,209,10,2,0.6666666666666666,0.045662100456621,0.3333333333333333,0.06222222222222222
F | 0,146,2,119,20,5,0.2857142857142857,0.14388489208633093,0.7142857142857143,0.1506849315068493
F | 5,123,2,110,10,1,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.0975609756097561
F | 6,54,0,54,0,0,,0.0,,0.0
