group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | 2,1687,205,1155,265,62,0.7677902621722846,0.18661971830985916,0.23220973782771537,0.27860106698280973
White | 3,1511,171,1077,199,64,0.7276595744680852,0.15595611285266459,0.2723404255319149,0.24487094639311713
Black | 2,1246,116,907,178,45,0.7204968944099379,0.1640552995391705,0.2795031055900621,0.23595505617977527
White | 4,949,84,723,122,20,0.8076923076923077,0.14437869822485208,0.19230769230769232,0.21707060063224448
Black | 1,769,94,515,113,47,0.6666666666666666,0.17993630573248406,0.3333333333333333,0.26918075422626786
Black | 3,724,76,539,85,24,0.76,0.1362179487179487,0.24,0.2223756906077348
White | 1,526,45,382,83,16,0.7377049180327869,0.17849462365591398,0.26229508196721313,0.24334600760456274
White | 5,518,34,408,64,12,0.7391304347826086,0.13559322033898305,0.2608695652173913,0.1891891891891892
Unknown or Legacy | 2,363,24,277,53,9,0.7272727272727273,0.1606060606060606,0.2727272727272727,0.21212121212121213
Black | 4,304,28,228,37,11,0.717948717948718,0.13962264150943396,0.28205128205128205,0.2138157894736842
Unknown or Legacy | 3,274,27,199,40,8,0.7714285714285715,0.16736401673640167,0.22857142857142856,0.24452554744525548
Black | 0,258,27,180,45,6,0.8181818181818182,0.2,0.18181818181818182,0.27906976744186046
East/Southeast Asian | 2,231,11,183,28,9,0.55,0.13270142180094788,0.45,0.16883116883116883
South Asian | 2,228,18,178,29,3,0.8571428571428571,0.14009661835748793,0.14285714285714285,0.20614035087719298
Middle-Eastern | 2,201,10,156,33,2,0.8333333333333334,0.1746031746031746,0.16666666666666666,0.21393034825870647
East/Southeast Asian | 3,196,9,153,32,2,0.8181818181818182,0.17297297297297298,0.18181818181818182,0.20918367346938777
Unknown or Legacy | 1,189,15,130,42,2,0.8823529411764706,0.2441860465116279,0.11764705882352941,0.30158730158730157
White | 0,161,6,129,24,2,0.75,0.1568627450980392,0.25,0.18633540372670807
South Asian | 3,158,7,130,17,4,0.6363636363636364,0.11564625850340136,0.36363636363636365,0.1518987341772152
Unknown or Legacy | 4,155,11,122,17,5,0.6875,0.1223021582733813,0.3125,0.18064516129032257
White | 6,149,2,130,17,0,1.0,0.11564625850340136,0.0,0.12751677852348994
East/Southeast Asian | 1,146,11,120,11,4,0.7333333333333333,0.08396946564885496,0.26666666666666666,0.1506849315068493
Indigenous | 2,146,20,115,8,3,0.8695652173913043,0.06504065040650407,0.13043478260869565,0.1917808219178082
Middle-Eastern | 3,143,9,110,19,5,0.6428571428571429,0.14728682170542637,0.35714285714285715,0.1958041958041958
South Asian | 1,140,10,107,22,1,0.9090909090909091,0.17054263565891473,0.09090909090909091,0.22857142857142856
East/Southeast Asian | 4,138,10,106,20,2,0.8333333333333334,0.15873015873015872,0.16666666666666666,0.21739130434782608
Latino | 2,135,6,102,24,3,0.6666666666666666,0.19047619047619047,0.3333333333333333,0.2222222222222222
Black | 5,132,12,103,16,1,0.9230769230769231,0.13445378151260504,0.07692307692307693,0.21212121212121213
Middle-Eastern | 1,132,11,94,25,2,0.8461538461538461,0.21008403361344538,0.15384615384615385,0.2727272727272727
Indigenous | 3,122,11,95,12,4,0.7333333333333333,0.11214953271028037,0.26666666666666666,0.1885245901639344
South Asian | 4,108,3,93,12,0,1.0,0.11428571428571428,0.0,0.1388888888888889
Latino | 3,82,1,60,18,3,0.25,0.23076923076923078,0.75,0.23170731707317074
Unknown or Legacy | 5,82,2,73,6,1,0.6666666666666666,0.0759493670886076,0.3333333333333333,0.0975609756097561
Middle-Eastern | 4,73,5,57,10,1,0.8333333333333334,0.14925373134328357,0.16666666666666666,0.2054794520547945
East/Southeast Asian | 5,71,4,56,9,2,0.6666666666666666,0.13846153846153847,0.3333333333333333,0.18309859154929578
Indigenous | 1,56,7,40,6,3,0.7,0.13043478260869565,0.3,0.23214285714285715
Latino | 1,54,2,43,7,2,0.5,0.14,0.5,0.16666666666666666
Indigenous | 4,50,6,40,4,0,1.0,0.09090909090909091,0.0,0.2
South Asian | 5,42,1,36,5,0,1.0,0.12195121951219512,0.0,0.14285714285714285
Unknown or Legacy | 0,38,1,28,7,2,0.3333333333333333,0.2,0.6666666666666666,0.21052631578947367
Middle-Eastern | 0,37,0,30,6,1,0.0,0.16666666666666666,1.0,0.16216216216216217
East/Southeast Asian | 6,36,0,33,3,0,,0.08333333333333333,,0.08333333333333333
Latino | 4,36,2,31,3,0,1.0,0.08823529411764706,0.0,0.1388888888888889
Unknown or Legacy | 6,34,0,32,1,1,0.0,0.030303030303030304,1.0,0.029411764705882353
Middle-Eastern | 5,31,1,28,2,0,1.0,0.06666666666666667,0.0,0.0967741935483871
Black | 6,31,2,23,6,0,1.0,0.20689655172413793,0.0,0.25806451612903225
South Asian | 0,24,1,18,5,0,1.0,0.21739130434782608,0.0,0.25
East/Southeast Asian | 0,21,0,17,4,0,,0.19047619047619047,,0.19047619047619047
Latino | 5,20,1,16,2,1,0.5,0.1111111111111111,0.5,0.15
Latino | 0,15,2,11,1,1,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.2
South Asian | 6,12,0,11,0,1,0.0,0.0,1.0,0.0
Indigenous | 5,12,2,8,2,0,1.0,0.2,0.0,0.3333333333333333
Latino | 6,8,0,8,0,0,,0.0,,0.0
Middle-Eastern | 6,6,0,5,1,0,,0.16666666666666666,,0.16666666666666666
Indigenous | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
