group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M | 2,1266,147,880,195,44,0.7696335078534031,0.1813953488372093,0.23036649214659685,0.27014218009478674
White | M | 3,1182,141,833,171,37,0.7921348314606742,0.17031872509960158,0.20786516853932585,0.2639593908629442
Black | M | 2,1037,104,738,154,41,0.7172413793103448,0.1726457399103139,0.2827586206896552,0.24879459980713597
White | M | 4,756,63,572,104,17,0.7875,0.15384615384615385,0.2125,0.2208994708994709
Black | M | 3,622,71,457,73,21,0.7717391304347826,0.13773584905660377,0.22826086956521738,0.2315112540192926
Black | M | 1,619,86,403,92,38,0.6935483870967742,0.18585858585858586,0.3064516129032258,0.2875605815831987
White | M | 5,443,33,344,54,12,0.7333333333333333,0.135678391959799,0.26666666666666666,0.1963882618510158
White | F | 2,421,58,275,70,18,0.7631578947368421,0.2028985507246377,0.23684210526315788,0.30403800475059384
White | M | 1,394,37,282,61,14,0.7254901960784313,0.17784256559766765,0.27450980392156865,0.24873096446700507
White | F | 3,329,30,244,28,27,0.5263157894736842,0.10294117647058823,0.47368421052631576,0.1762917933130699
Unknown or Legacy | M | 2,297,20,220,49,8,0.7142857142857143,0.1821561338289963,0.2857142857142857,0.23232323232323232
Black | M | 4,256,23,192,34,7,0.7666666666666667,0.1504424778761062,0.23333333333333334,0.22265625
Unknown or Legacy | M | 3,222,23,158,33,8,0.7419354838709677,0.17277486910994763,0.25806451612903225,0.25225225225225223
Black | F | 2,209,12,169,24,4,0.75,0.12435233160621761,0.25,0.1722488038277512
South Asian | M | 2,201,17,157,25,2,0.8947368421052632,0.13736263736263737,0.10526315789473684,0.208955223880597
East/Southeast Asian | M | 2,195,10,151,25,9,0.5263157894736842,0.14204545454545456,0.47368421052631576,0.1794871794871795
White | F | 4,193,21,151,18,3,0.875,0.10650887573964497,0.125,0.20207253886010362
Black | M | 0,185,24,126,30,5,0.8275862068965517,0.19230769230769232,0.1724137931034483,0.2918918918918919
Middle-Eastern | M | 2,181,8,141,30,2,0.8,0.17543859649122806,0.2,0.20994475138121546
East/Southeast Asian | M | 3,162,9,124,27,2,0.8181818181818182,0.17880794701986755,0.18181818181818182,0.2222222222222222
Unknown or Legacy | M | 1,156,12,103,39,2,0.8571428571428571,0.2746478873239437,0.14285714285714285,0.3269230769230769
Black | F | 1,150,8,112,21,9,0.47058823529411764,0.15789473684210525,0.5294117647058824,0.19333333333333333
South Asian | M | 3,133,5,109,15,4,0.5555555555555556,0.12096774193548387,0.4444444444444444,0.15037593984962405
White | F | 1,132,8,100,22,2,0.8,0.18032786885245902,0.2,0.22727272727272727
Unknown or Legacy | M | 4,131,9,101,16,5,0.6428571428571429,0.13675213675213677,0.35714285714285715,0.19083969465648856
Middle-Eastern | M | 3,126,9,95,17,5,0.6428571428571429,0.15178571428571427,0.35714285714285715,0.20634920634920634
East/Southeast Asian | M | 1,120,10,97,9,4,0.7142857142857143,0.08490566037735849,0.2857142857142857,0.15833333333333333
Black | M | 5,118,12,90,15,1,0.9230769230769231,0.14285714285714285,0.07692307692307693,0.2288135593220339
White | M | 0,117,4,91,20,2,0.6666666666666666,0.18018018018018017,0.3333333333333333,0.20512820512820512
South Asian | M | 1,117,9,87,20,1,0.9,0.18691588785046728,0.1,0.24786324786324787
East/Southeast Asian | M | 4,116,9,86,20,1,0.9,0.18867924528301888,0.1,0.25
Middle-Eastern | M | 1,116,10,83,22,1,0.9090909090909091,0.20952380952380953,0.09090909090909091,0.27586206896551724
White | M | 6,115,2,97,16,0,1.0,0.1415929203539823,0.0,0.1565217391304348
Latino | M | 2,113,5,84,21,3,0.625,0.2,0.375,0.23008849557522124
Black | F | 3,102,5,82,12,3,0.625,0.1276595744680851,0.375,0.16666666666666666
South Asian | M | 4,91,3,76,12,0,1.0,0.13636363636363635,0.0,0.16483516483516483
Indigenous | M | 2,88,14,69,4,1,0.9333333333333333,0.0547945205479452,0.06666666666666667,0.20454545454545456
Indigenous | M | 3,88,10,66,9,3,0.7692307692307693,0.12,0.23076923076923078,0.2159090909090909
White | F | 5,75,1,64,10,0,1.0,0.13513513513513514,0.0,0.14666666666666667
Black | F | 0,73,3,54,15,1,0.75,0.21739130434782608,0.25,0.2465753424657534
Unknown or Legacy | M | 5,71,2,62,6,1,0.6666666666666666,0.08823529411764706,0.3333333333333333,0.11267605633802817
Unknown or Legacy | F | 2,66,4,57,4,1,0.8,0.06557377049180328,0.2,0.12121212121212122
Latino | M | 3,66,1,46,16,3,0.25,0.25806451612903225,0.75,0.25757575757575757
Middle-Eastern | M | 4,63,4,49,9,1,0.8,0.15517241379310345,0.2,0.20634920634920634
East/Southeast Asian | M | 5,58,3,46,8,1,0.75,0.14814814814814814,0.25,0.1896551724137931
Indigenous | F | 2,58,6,46,4,2,0.75,0.08,0.25,0.1724137931034483
Unknown or Legacy | F | 3,52,4,41,7,0,1.0,0.14583333333333334,0.0,0.21153846153846154
Black | F | 4,48,5,36,3,4,0.5555555555555556,0.07692307692307693,0.4444444444444444,0.16666666666666666
White | F | 0,44,2,38,4,0,1.0,0.09523809523809523,0.0,0.13636363636363635
Latino | M | 1,42,1,34,5,2,0.3333333333333333,0.1282051282051282,0.6666666666666666,0.14285714285714285
South Asian | M | 5,41,1,35,5,0,1.0,0.125,0.0,0.14634146341463414
East/Southeast Asian | F | 2,36,1,32,3,0,1.0,0.08571428571428572,0.0,0.1111111111111111
Indigenous | M | 4,34,5,26,3,0,1.0,0.10344827586206896,0.0,0.23529411764705882
Indigenous | M | 1,34,5,21,5,3,0.625,0.19230769230769232,0.375,0.29411764705882354
