group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,427,3099,621,126,0.7721518987341772,0.16693548387096774,0.22784810126582278,0.24526094079101335
Black | M,2864,322,2026,403,113,0.7402298850574712,0.16591189790037053,0.2597701149425287,0.25314245810055863
White | F,1228,120,905,153,50,0.7058823529411765,0.1446124763705104,0.29411764705882354,0.22231270358306188
Unknown or Legacy | M,936,67,693,150,26,0.7204301075268817,0.17793594306049823,0.27956989247311825,0.23183760683760685
East/Southeast Asian | M,695,41,543,94,17,0.7068965517241379,0.14756671899529042,0.29310344827586204,0.19424460431654678
South Asian | M,610,36,485,81,8,0.8181818181818182,0.1431095406360424,0.18181818181818182,0.1918032786885246
Black | F,600,33,469,77,21,0.6111111111111112,0.14102564102564102,0.3888888888888889,0.18333333333333332
Middle-Eastern | M,552,32,424,86,10,0.7619047619047619,0.16862745098039217,0.23809523809523808,0.213768115942029
Latino | M,290,11,221,48,10,0.5238095238095238,0.17843866171003717,0.47619047619047616,0.20344827586206896
Indigenous | M,257,36,190,24,7,0.8372093023255814,0.11214953271028037,0.16279069767441862,0.23346303501945526
Unknown or Legacy | F,199,13,168,16,2,0.8666666666666667,0.08695652173913043,0.13333333333333333,0.1457286432160804
East/Southeast Asian | F,144,4,125,13,2,0.6666666666666666,0.09420289855072464,0.3333333333333333,0.11805555555555555
Indigenous | F,135,10,113,9,3,0.7692307692307693,0.07377049180327869,0.23076923076923078,0.14074074074074075
South Asian | F,102,4,88,9,1,0.8,0.09278350515463918,0.2,0.12745098039215685
Middle-Eastern | F,71,4,56,10,1,0.8,0.15151515151515152,0.2,0.19718309859154928
Latino | F,60,3,50,7,0,1.0,0.12280701754385964,0.0,0.16666666666666666
