group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M | 2,3378,325,2440,503,110,0.7471264367816092,0.1709140332993544,0.25287356321839083,0.24511545293072823
M | 3,2601,269,1888,361,83,0.7642045454545454,0.16051578479324144,0.23579545454545456,0.2422145328719723
M | 1,1598,170,1110,253,65,0.723404255319149,0.18561995597945707,0.2765957446808511,0.2647058823529412
M | 4,1479,117,1130,201,31,0.7905405405405406,0.15101427498121714,0.20945945945945946,0.2150101419878296
F | 2,859,85,633,115,26,0.7657657657657657,0.1537433155080214,0.23423423423423423,0.23282887077997672
M | 5,785,55,620,94,16,0.7746478873239436,0.13165266106442577,0.22535211267605634,0.18980891719745224
F | 3,609,42,475,61,31,0.5753424657534246,0.11380597014925373,0.4246575342465753,0.16912972085385877
F | 1,414,25,321,56,12,0.6756756756756757,0.14854111405835543,0.32432432432432434,0.1956521739130435
M | 0,411,32,300,69,10,0.7619047619047619,0.18699186991869918,0.23809523809523808,0.24574209245742093
F | 4,334,32,270,24,8,0.8,0.08163265306122448,0.2,0.16766467065868262
M | 6,225,4,193,26,2,0.6666666666666666,0.1187214611872146,0.3333333333333333,0.13333333333333333
F | 0,146,5,116,23,2,0.7142857142857143,0.16546762589928057,0.2857142857142857,0.1917808219178082
F | 5,123,2,108,12,1,0.6666666666666666,0.1,0.3333333333333333,0.11382113821138211
F | 6,54,0,51,3,0,,0.05555555555555555,,0.05555555555555555
