group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M | 2,1266,150,892,183,41,0.7853403141361257,0.1702325581395349,0.21465968586387435,0.26303317535545023
White | M | 3,1182,138,850,154,40,0.7752808988764045,0.15338645418326693,0.2247191011235955,0.2470389170896785
Black | M | 2,1037,107,738,154,38,0.7379310344827587,0.1726457399103139,0.2620689655172414,0.25168756027000966
White | M | 4,756,64,586,90,16,0.8,0.13313609467455623,0.2,0.2037037037037037
Black | M | 3,622,70,453,77,22,0.7608695652173914,0.14528301886792452,0.2391304347826087,0.23633440514469453
Black | M | 1,619,86,394,101,38,0.6935483870967742,0.20404040404040405,0.3064516129032258,0.30210016155088854
White | M | 5,443,33,352,46,12,0.7333333333333333,0.11557788944723618,0.26666666666666666,0.17832957110609482
White | F | 2,421,62,265,80,14,0.8157894736842105,0.2318840579710145,0.18421052631578946,0.33729216152019004
White | M | 1,394,34,280,63,17,0.6666666666666666,0.1836734693877551,0.3333333333333333,0.24619289340101522
White | F | 3,329,35,236,36,22,0.6140350877192983,0.1323529411764706,0.38596491228070173,0.21580547112462006
Unknown or Legacy | M | 2,297,19,221,48,9,0.6785714285714286,0.17843866171003717,0.32142857142857145,0.2255892255892256
Black | M | 4,256,24,190,36,6,0.8,0.1592920353982301,0.2,0.234375
Unknown or Legacy | M | 3,222,23,156,35,8,0.7419354838709677,0.18324607329842932,0.25806451612903225,0.26126126126126126
Black | F | 2,209,11,163,30,5,0.6875,0.15544041450777202,0.3125,0.19617224880382775
South Asian | M | 2,201,15,162,20,4,0.7894736842105263,0.10989010989010989,0.21052631578947367,0.17412935323383086
East/Southeast Asian | M | 2,195,11,158,18,8,0.5789473684210527,0.10227272727272728,0.42105263157894735,0.14871794871794872
White | F | 4,193,20,149,20,4,0.8333333333333334,0.11834319526627218,0.16666666666666666,0.20725388601036268
Black | M | 0,185,21,131,25,8,0.7241379310344828,0.16025641025641027,0.27586206896551724,0.24864864864864866
Middle-Eastern | M | 2,181,8,146,25,2,0.8,0.14619883040935672,0.2,0.18232044198895028
East/Southeast Asian | M | 3,162,8,130,21,3,0.7272727272727273,0.1390728476821192,0.2727272727272727,0.17901234567901234
Unknown or Legacy | M | 1,156,11,105,37,3,0.7857142857142857,0.2605633802816901,0.21428571428571427,0.3076923076923077
Black | F | 1,150,12,110,23,5,0.7058823529411765,0.17293233082706766,0.29411764705882354,0.23333333333333334
South Asian | M | 3,133,5,109,15,4,0.5555555555555556,0.12096774193548387,0.4444444444444444,0.15037593984962405
White | F | 1,132,7,99,23,3,0.7,0.1885245901639344,0.3,0.22727272727272727
Unknown or Legacy | M | 4,131,9,99,18,5,0.6428571428571429,0.15384615384615385,0.35714285714285715,0.20610687022900764
Middle-Eastern | M | 3,126,6,97,15,8,0.42857142857142855,0.13392857142857142,0.5714285714285714,0.16666666666666666
East/Southeast Asian | M | 1,120,10,98,8,4,0.7142857142857143,0.07547169811320754,0.2857142857142857,0.15
Black | M | 5,118,12,92,13,1,0.9230769230769231,0.12380952380952381,0.07692307692307693,0.211864406779661
White | M | 0,117,4,96,15,2,0.6666666666666666,0.13513513513513514,0.3333333333333333,0.1623931623931624
South Asian | M | 1,117,9,86,21,1,0.9,0.19626168224299065,0.1,0.2564102564102564
East/Southeast Asian | M | 4,116,7,95,11,3,0.7,0.10377358490566038,0.3,0.15517241379310345
Middle-Eastern | M | 1,116,8,91,14,3,0.7272727272727273,0.13333333333333333,0.2727272727272727,0.1896551724137931
White | M | 6,115,2,99,14,0,1.0,0.12389380530973451,0.0,0.1391304347826087
Latino | M | 2,113,5,87,18,3,0.625,0.17142857142857143,0.375,0.20353982300884957
Black | F | 3,102,5,81,13,3,0.625,0.13829787234042554,0.375,0.17647058823529413
South Asian | M | 4,91,3,77,11,0,1.0,0.125,0.0,0.15384615384615385
Indigenous | M | 2,88,13,67,6,2,0.8666666666666667,0.0821917808219178,0.13333333333333333,0.2159090909090909
Indigenous | M | 3,88,11,67,8,2,0.8461538461538461,0.10666666666666667,0.15384615384615385,0.2159090909090909
White | F | 5,75,1,64,10,0,1.0,0.13513513513513514,0.0,0.14666666666666667
Black | F | 0,73,2,52,17,2,0.5,0.2463768115942029,0.5,0.2602739726027397
Unknown or Legacy | M | 5,71,2,63,5,1,0.6666666666666666,0.07352941176470588,0.3333333333333333,0.09859154929577464
Unknown or Legacy | F | 2,66,4,57,4,1,0.8,0.06557377049180328,0.2,0.12121212121212122
Latino | M | 3,66,1,52,10,3,0.25,0.16129032258064516,0.75,0.16666666666666666
Middle-Eastern | M | 4,63,4,49,9,1,0.8,0.15517241379310345,0.2,0.20634920634920634
East/Southeast Asian | M | 5,58,2,47,7,2,0.5,0.12962962962962962,0.5,0.15517241379310345
Indigenous | F | 2,58,7,38,12,1,0.875,0.24,0.125,0.3275862068965517
Unknown or Legacy | F | 3,52,4,41,7,0,1.0,0.14583333333333334,0.0,0.21153846153846154
Black | F | 4,48,6,38,1,3,0.6666666666666666,0.02564102564102564,0.3333333333333333,0.14583333333333334
White | F | 0,44,1,38,4,1,0.5,0.09523809523809523,0.5,0.11363636363636363
Latino | M | 1,42,0,36,3,3,0.0,0.07692307692307693,1.0,0.07142857142857142
South Asian | M | 5,41,1,36,4,0,1.0,0.1,0.0,0.12195121951219512
