group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,425,3155,565,128,0.7685352622061483,0.15188172043010753,0.2314647377938517,0.23168733910601452
Black | M,2864,322,2021,408,113,0.7402298850574712,0.16797035817208728,0.2597701149425287,0.25488826815642457
White | F,1228,126,884,174,44,0.7411764705882353,0.16446124763705103,0.25882352941176473,0.24429967426710097
Unknown or Legacy | M,936,65,693,150,28,0.6989247311827957,0.17793594306049823,0.3010752688172043,0.2297008547008547
East/Southeast Asian | M,695,38,567,70,20,0.6551724137931034,0.10989010989010989,0.3448275862068966,0.1553956834532374
South Asian | M,610,34,491,75,10,0.7727272727272727,0.13250883392226148,0.22727272727272727,0.17868852459016393
Black | F,600,36,460,86,18,0.6666666666666666,0.1575091575091575,0.3333333333333333,0.20333333333333334
Middle-Eastern | M,552,27,440,70,15,0.6428571428571429,0.13725490196078433,0.35714285714285715,0.17572463768115942
Latino | M,290,8,233,36,13,0.38095238095238093,0.13382899628252787,0.6190476190476191,0.15172413793103448
Indigenous | M,257,37,189,25,6,0.8604651162790697,0.11682242990654206,0.13953488372093023,0.24124513618677043
Unknown or Legacy | F,199,13,167,17,2,0.8666666666666667,0.09239130434782608,0.13333333333333333,0.1507537688442211
East/Southeast Asian | F,144,3,126,12,3,0.5,0.08695652173913043,0.5,0.10416666666666667
Indigenous | F,135,10,101,21,3,0.7692307692307693,0.1721311475409836,0.23076923076923078,0.22962962962962963
South Asian | F,102,5,85,12,0,1.0,0.12371134020618557,0.0,0.16666666666666666
Middle-Eastern | F,71,3,57,9,2,0.6,0.13636363636363635,0.4,0.16901408450704225
Latino | F,60,2,51,6,1,0.6666666666666666,0.10526315789473684,0.3333333333333333,0.13333333333333333
