group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M | 2,3378,328,2471,472,107,0.7540229885057471,0.16038056405028883,0.24597701149425288,0.23682652457075193
M | 3,2601,262,1914,335,90,0.7443181818181818,0.14895509115162295,0.2556818181818182,0.2295271049596309
M | 1,1598,164,1110,253,71,0.6978723404255319,0.18561995597945707,0.3021276595744681,0.2609511889862328
M | 4,1479,117,1150,181,31,0.7905405405405406,0.13598797896318557,0.20945945945945946,0.20148749154834347
F | 2,859,88,610,138,23,0.7927927927927928,0.18449197860962566,0.2072072072072072,0.2630966239813737
M | 5,785,54,634,80,17,0.7605633802816901,0.11204481792717087,0.23943661971830985,0.17070063694267515
F | 3,609,47,466,70,26,0.6438356164383562,0.13059701492537312,0.3561643835616438,0.1921182266009852
F | 1,414,26,318,59,11,0.7027027027027027,0.15649867374005305,0.2972972972972973,0.20531400966183574
M | 0,411,27,312,57,15,0.6428571428571429,0.15447154471544716,0.35714285714285715,0.20437956204379562
F | 4,334,32,266,28,8,0.8,0.09523809523809523,0.2,0.17964071856287425
M | 6,225,4,198,21,2,0.6666666666666666,0.0958904109589041,0.3333333333333333,0.1111111111111111
F | 0,146,3,112,27,4,0.42857142857142855,0.19424460431654678,0.5714285714285714,0.2054794520547945
F | 5,123,2,108,12,1,0.6666666666666666,0.1,0.3333333333333333,0.11382113821138211
F | 6,54,0,51,3,0,,0.05555555555555555,,0.05555555555555555
