group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | 2,1687,217,1145,275,50,0.8127340823970037,0.1936619718309859,0.18726591760299627,0.2916419679905157
White | 3,1511,175,1070,206,60,0.7446808510638298,0.1614420062695925,0.2553191489361702,0.25215089344804764
Black | 2,1246,115,899,186,46,0.7142857142857143,0.17142857142857143,0.2857142857142857,0.24157303370786518
White | 4,949,79,737,108,25,0.7596153846153846,0.12781065088757396,0.2403846153846154,0.1970495258166491
Black | 1,769,91,514,114,50,0.6453900709219859,0.18152866242038215,0.3546099290780142,0.2665799739921977
Black | 3,724,73,535,89,27,0.73,0.14262820512820512,0.27,0.22375690607734808
White | 1,526,42,394,71,19,0.6885245901639344,0.15268817204301074,0.3114754098360656,0.21482889733840305
White | 5,518,29,437,35,17,0.6304347826086957,0.07415254237288135,0.3695652173913043,0.12355212355212356
Unknown or Legacy | 2,363,22,278,52,11,0.6666666666666666,0.15757575757575756,0.3333333333333333,0.20385674931129477
Black | 4,304,26,242,23,13,0.6666666666666666,0.08679245283018867,0.3333333333333333,0.1611842105263158
Unknown or Legacy | 3,274,27,202,37,8,0.7714285714285715,0.15481171548117154,0.22857142857142856,0.23357664233576642
Black | 0,258,22,192,33,11,0.6666666666666666,0.14666666666666667,0.3333333333333333,0.2131782945736434
East/Southeast Asian | 2,231,9,187,24,11,0.45,0.11374407582938388,0.55,0.14285714285714285
South Asian | 2,228,18,179,28,3,0.8571428571428571,0.13526570048309178,0.14285714285714285,0.20175438596491227
Middle-Eastern | 2,201,10,162,27,2,0.8333333333333334,0.14285714285714285,0.16666666666666666,0.18407960199004975
East/Southeast Asian | 3,196,8,158,27,3,0.7272727272727273,0.14594594594594595,0.2727272727272727,0.17857142857142858
Unknown or Legacy | 1,189,12,132,40,5,0.7058823529411765,0.23255813953488372,0.29411764705882354,0.2751322751322751
White | 0,161,6,140,13,2,0.75,0.08496732026143791,0.25,0.11801242236024845
South Asian | 3,158,7,129,18,4,0.6363636363636364,0.12244897959183673,0.36363636363636365,0.15822784810126583
Unknown or Legacy | 4,155,9,129,10,7,0.5625,0.07194244604316546,0.4375,0.12258064516129032
White | 6,149,2,142,5,0,1.0,0.034013605442176874,0.0,0.04697986577181208
East/Southeast Asian | 1,146,13,121,10,2,0.8666666666666667,0.07633587786259542,0.13333333333333333,0.15753424657534246
Indigenous | 2,146,19,106,17,4,0.8260869565217391,0.13821138211382114,0.17391304347826086,0.2465753424657534
Middle-Eastern | 3,143,7,114,15,7,0.5,0.11627906976744186,0.5,0.15384615384615385
South Asian | 1,140,10,107,22,1,0.9090909090909091,0.17054263565891473,0.09090909090909091,0.22857142857142856
East/Southeast Asian | 4,138,7,115,11,5,0.5833333333333334,0.0873015873015873,0.4166666666666667,0.13043478260869565
Latino | 2,135,6,104,22,3,0.6666666666666666,0.1746031746031746,0.3333333333333333,0.2074074074074074
Black | 5,132,11,111,8,2,0.8461538461538461,0.06722689075630252,0.15384615384615385,0.14393939393939395
Middle-Eastern | 1,132,10,98,21,3,0.7692307692307693,0.17647058823529413,0.23076923076923078,0.23484848484848486
Indigenous | 3,122,12,96,11,3,0.8,0.102803738317757,0.2,0.1885245901639344
South Asian | 4,108,3,97,8,0,1.0,0.0761904761904762,0.0,0.10185185185185185
Latino | 3,82,3,60,18,1,0.75,0.23076923076923078,0.25,0.25609756097560976
Unknown or Legacy | 5,82,2,75,4,1,0.6666666666666666,0.05063291139240506,0.3333333333333333,0.07317073170731707
Middle-Eastern | 4,73,3,59,8,3,0.5,0.11940298507462686,0.5,0.1506849315068493
East/Southeast Asian | 5,71,3,60,5,3,0.5,0.07692307692307693,0.5,0.11267605633802817
Indigenous | 1,56,7,40,6,3,0.7,0.13043478260869565,0.3,0.23214285714285715
Latino | 1,54,1,45,5,3,0.25,0.1,0.75,0.1111111111111111
Indigenous | 4,50,4,39,5,2,0.6666666666666666,0.11363636363636363,0.3333333333333333,0.18
South Asian | 5,42,0,36,5,1,0.0,0.12195121951219512,1.0,0.11904761904761904
Unknown or Legacy | 0,38,0,33,2,3,0.0,0.05714285714285714,1.0,0.05263157894736842
Middle-Eastern | 0,37,0,32,4,1,0.0,0.1111111111111111,1.0,0.10810810810810811
East/Southeast Asian | 6,36,0,34,2,0,,0.05555555555555555,,0.05555555555555555
Latino | 4,36,2,29,5,0,1.0,0.14705882352941177,0.0,0.19444444444444445
Unknown or Legacy | 6,34,0,32,1,1,0.0,0.030303030303030304,1.0,0.029411764705882353
Middle-Eastern | 5,31,1,29,1,0,1.0,0.03333333333333333,0.0,0.06451612903225806
Black | 6,31,1,29,0,1,0.5,0.0,0.5,0.03225806451612903
South Asian | 0,24,1,18,5,0,1.0,0.21739130434782608,0.0,0.25
East/Southeast Asian | 0,21,0,17,4,0,,0.19047619047619047,,0.19047619047619047
Latino | 5,20,1,17,1,1,0.5,0.05555555555555555,0.5,0.1
Latino | 0,15,2,12,0,1,0.6666666666666666,0.0,0.3333333333333333,0.13333333333333333
South Asian | 6,12,0,11,0,1,0.0,0.0,1.0,0.0
Indigenous | 5,12,2,8,2,0,1.0,0.2,0.0,0.3333333333333333
Latino | 6,8,0,8,0,0,,0.0,,0.0
Middle-Eastern | 6,6,0,6,0,0,,0.0,,0.0
Indigenous | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | 6,3,0,3,0,0,,0.0,,0.0
