group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M | 2,1266,155,878,197,36,0.8115183246073299,0.18325581395348836,0.18848167539267016,0.27804107424960506
White | M | 3,1182,140,835,169,38,0.7865168539325843,0.16832669322709162,0.21348314606741572,0.2614213197969543
Black | M | 2,1037,105,733,159,40,0.7241379310344828,0.17825112107623317,0.27586206896551724,0.25458052073288334
White | M | 4,756,63,585,91,17,0.7875,0.1346153846153846,0.2125,0.2037037037037037
Black | M | 3,622,68,454,76,24,0.7391304347826086,0.14339622641509434,0.2608695652173913,0.2315112540192926
Black | M | 1,619,82,400,95,42,0.6612903225806451,0.1919191919191919,0.3387096774193548,0.2859450726978998
White | M | 5,443,28,372,26,17,0.6222222222222222,0.06532663316582915,0.37777777777777777,0.12189616252821671
White | F | 2,421,62,267,78,14,0.8157894736842105,0.22608695652173913,0.18421052631578946,0.332541567695962
White | M | 1,394,35,292,51,16,0.6862745098039216,0.14868804664723032,0.3137254901960784,0.2182741116751269
White | F | 3,329,35,235,37,22,0.6140350877192983,0.13602941176470587,0.38596491228070173,0.2188449848024316
Unknown or Legacy | M | 2,297,19,221,48,9,0.6785714285714286,0.17843866171003717,0.32142857142857145,0.2255892255892256
Black | M | 4,256,21,206,20,9,0.7,0.08849557522123894,0.3,0.16015625
Unknown or Legacy | M | 3,222,23,161,30,8,0.7419354838709677,0.15706806282722513,0.25806451612903225,0.23873873873873874
Black | F | 2,209,10,166,27,6,0.625,0.13989637305699482,0.375,0.17703349282296652
South Asian | M | 2,201,16,158,24,3,0.8421052631578947,0.13186813186813187,0.15789473684210525,0.19900497512437812
East/Southeast Asian | M | 2,195,9,153,23,10,0.47368421052631576,0.13068181818181818,0.5263157894736842,0.1641025641025641
White | F | 4,193,16,152,17,8,0.6666666666666666,0.10059171597633136,0.3333333333333333,0.17098445595854922
Black | M | 0,185,20,133,23,9,0.6896551724137931,0.14743589743589744,0.3103448275862069,0.23243243243243245
Middle-Eastern | M | 2,181,8,146,25,2,0.8,0.14619883040935672,0.2,0.18232044198895028
East/Southeast Asian | M | 3,162,8,127,24,3,0.7272727272727273,0.15894039735099338,0.2727272727272727,0.19753086419753085
Unknown or Legacy | M | 1,156,9,105,37,5,0.6428571428571429,0.2605633802816901,0.35714285714285715,0.2948717948717949
Black | F | 1,150,9,114,19,8,0.5294117647058824,0.14285714285714285,0.47058823529411764,0.18666666666666668
South Asian | M | 3,133,5,109,15,4,0.5555555555555556,0.12096774193548387,0.4444444444444444,0.15037593984962405
White | F | 1,132,7,102,20,3,0.7,0.16393442622950818,0.3,0.20454545454545456
Unknown or Legacy | M | 4,131,7,108,9,7,0.5,0.07692307692307693,0.5,0.12213740458015267
Middle-Eastern | M | 3,126,7,98,14,7,0.5,0.125,0.5,0.16666666666666666
East/Southeast Asian | M | 1,120,12,98,8,2,0.8571428571428571,0.07547169811320754,0.14285714285714285,0.16666666666666666
Black | M | 5,118,11,98,7,2,0.8461538461538461,0.06666666666666667,0.15384615384615385,0.15254237288135594
White | M | 0,117,4,101,10,2,0.6666666666666666,0.09009009009009009,0.3333333333333333,0.11965811965811966
South Asian | M | 1,117,9,87,20,1,0.9,0.18691588785046728,0.1,0.24786324786324787
East/Southeast Asian | M | 4,116,6,95,11,4,0.6,0.10377358490566038,0.4,0.14655172413793102
Middle-Eastern | M | 1,116,9,87,18,2,0.8181818181818182,0.17142857142857143,0.18181818181818182,0.23275862068965517
White | M | 6,115,2,108,5,0,1.0,0.04424778761061947,0.0,0.06086956521739131
Latino | M | 2,113,5,84,21,3,0.625,0.2,0.375,0.23008849557522124
Black | F | 3,102,5,81,13,3,0.625,0.13829787234042554,0.375,0.17647058823529413
South Asian | M | 4,91,3,80,8,0,1.0,0.09090909090909091,0.0,0.12087912087912088
Indigenous | M | 2,88,14,65,8,1,0.9333333333333333,0.1095890410958904,0.06666666666666667,0.25
Indigenous | M | 3,88,11,67,8,2,0.8461538461538461,0.10666666666666667,0.15384615384615385,0.2159090909090909
White | F | 5,75,1,65,9,0,1.0,0.12162162162162163,0.0,0.13333333333333333
Black | F | 0,73,2,59,10,2,0.5,0.14492753623188406,0.5,0.1643835616438356
Unknown or Legacy | M | 5,71,2,64,4,1,0.6666666666666666,0.058823529411764705,0.3333333333333333,0.08450704225352113
Unknown or Legacy | F | 2,66,3,57,4,2,0.6,0.06557377049180328,0.4,0.10606060606060606
Latino | M | 3,66,3,45,17,1,0.75,0.27419354838709675,0.25,0.30303030303030304
Middle-Eastern | M | 4,63,3,50,8,2,0.6,0.13793103448275862,0.4,0.1746031746031746
East/Southeast Asian | M | 5,58,2,50,4,2,0.5,0.07407407407407407,0.5,0.10344827586206896
Indigenous | F | 2,58,5,41,9,3,0.625,0.18,0.375,0.2413793103448276
Unknown or Legacy | F | 3,52,4,41,7,0,1.0,0.14583333333333334,0.0,0.21153846153846154
Black | F | 4,48,5,36,3,4,0.5555555555555556,0.07692307692307693,0.4444444444444444,0.16666666666666666
White | F | 0,44,2,39,3,0,1.0,0.07142857142857142,0.0,0.11363636363636363
Latino | M | 1,42,1,35,4,2,0.3333333333333333,0.10256410256410256,0.6666666666666666,0.11904761904761904
South Asian | M | 5,41,0,35,5,1,0.0,0.125,1.0,0.12195121951219512
East/Southeast Asian | F | 2,36,0,34,1,1,0.0,0.02857142857142857,1.0,0.027777777777777776
Indigenous | M | 4,34,3,25,4,2,0.6,0.13793103448275862,0.4,0.20588235294117646
Indigenous | M | 1,34,7,21,5,1,0.875,0.19230769230769232,0.125,0.35294117647058826
East/Southeast Asian | F | 3,34,0,31,3,0,,0.08823529411764706,,0.08823529411764706
White | F | 6,34,0,34,0,0,,0.0,,0.0
Indigenous | F | 3,34,1,29,3,1,0.5,0.09375,0.5,0.11764705882352941
Unknown or Legacy | F | 1,33,3,27,3,0,1.0,0.1,0.0,0.18181818181818182
Middle-Eastern | M | 0,33,0,29,3,1,0.0,0.09375,1.0,0.09090909090909091
Latino | M | 4,32,1,26,5,0,1.0,0.16129032258064516,0.0,0.1875
Unknown or Legacy | M | 0,30,0,26,2,2,0.0,0.07142857142857142,1.0,0.06666666666666667
East/Southeast Asian | M | 6,29,0,27,2,0,,0.06896551724137931,,0.06896551724137931
Unknown or Legacy | M | 6,29,0,27,1,1,0.0,0.03571428571428571,1.0,0.034482758620689655
Black | M | 6,27,1,25,0,1,0.5,0.0,0.5,0.037037037037037035
Middle-Eastern | M | 5,27,1,25,1,0,1.0,0.038461538461538464,0.0,0.07407407407407407
South Asian | F | 2,27,2,21,4,0,1.0,0.16,0.0,0.2222222222222222
East/Southeast Asian | F | 1,26,1,23,2,0,1.0,0.08,0.0,0.11538461538461539
South Asian | F | 3,25,2,20,3,0,1.0,0.13043478260869565,0.0,0.2
Unknown or Legacy | F | 4,24,2,21,1,0,1.0,0.045454545454545456,0.0,0.125
South Asian | F | 1,23,1,20,2,0,1.0,0.09090909090909091,0.0,0.13043478260869565
Indigenous | F | 1,22,0,19,1,2,0.0,0.05,1.0,0.045454545454545456
East/Southeast Asian | F | 4,22,1,20,0,1,0.5,0.0,0.5,0.045454545454545456
