group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M | 2,3378,331,2438,505,104,0.7609195402298851,0.17159361196058442,0.23908045977011494,0.24748371817643577
M | 3,2601,265,1896,353,87,0.7528409090909091,0.15695864828812806,0.2471590909090909,0.23760092272202998
M | 1,1598,164,1125,238,71,0.6978723404255319,0.17461482024944974,0.3021276595744681,0.25156445556946183
M | 4,1479,107,1175,156,41,0.722972972972973,0.11720510894064613,0.27702702702702703,0.17782285327924274
F | 2,859,85,622,126,26,0.7657657657657657,0.16844919786096257,0.23423423423423423,0.24563445867287545
M | 5,785,47,664,50,24,0.6619718309859155,0.0700280112044818,0.3380281690140845,0.12356687898089172
F | 3,609,47,468,68,26,0.6438356164383562,0.12686567164179105,0.3561643835616438,0.18883415435139572
F | 1,414,22,326,51,15,0.5945945945945946,0.13527851458885942,0.40540540540540543,0.17632850241545894
M | 0,411,27,324,45,15,0.6428571428571429,0.12195121951219512,0.35714285714285715,0.17518248175182483
F | 4,334,26,272,22,14,0.65,0.07482993197278912,0.35,0.1437125748502994
M | 6,225,3,211,8,3,0.5,0.0365296803652968,0.5,0.04888888888888889
F | 0,146,4,123,16,3,0.5714285714285714,0.11510791366906475,0.42857142857142855,0.136986301369863
F | 5,123,2,109,11,1,0.6666666666666666,0.09166666666666666,0.3333333333333333,0.10569105691056911
F | 6,54,0,54,0,0,,0.0,,0.0
