group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
White | 2,0.1936619718309859,0.19225352112676056,0.18661971830985916,0.1852112676056338,1687
White | 3,0.1614420062695925,0.16300940438871472,0.15595611285266459,0.14890282131661442,1511
Black | 2,0.17142857142857143,0.17050691244239632,0.1640552995391705,0.1695852534562212,1246
White | 4,0.12781065088757396,0.1242603550295858,0.14437869822485208,0.1301775147928994,949
Black | 1,0.18152866242038215,0.18312101910828024,0.17993630573248406,0.19745222929936307,769
Black | 3,0.14262820512820512,0.12980769230769232,0.1362179487179487,0.14423076923076922,724
White | 1,0.15268817204301074,0.17634408602150536,0.17849462365591398,0.18494623655913978,526
White | 5,0.07415254237288135,0.09533898305084745,0.13559322033898305,0.11864406779661017,518
Unknown or Legacy | 2,0.15757575757575756,0.1484848484848485,0.1606060606060606,0.15757575757575756,363
Black | 4,0.08679245283018867,0.12075471698113208,0.13962264150943396,0.13962264150943396,304
Unknown or Legacy | 3,0.15481171548117154,0.14644351464435146,0.16736401673640167,0.17573221757322174,274
Black | 0,0.14666666666666667,0.19111111111111112,0.2,0.18666666666666668,258
East/Southeast Asian | 2,0.11374407582938388,0.08530805687203792,0.13270142180094788,0.0995260663507109,231
South Asian | 2,0.13526570048309178,0.1111111111111111,0.14009661835748793,0.11594202898550725,228
Middle-Eastern | 2,0.14285714285714285,0.1164021164021164,0.1746031746031746,0.14814814814814814,201
