group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
White | M | 2,0.18325581395348836,0.18232558139534882,0.1813953488372093,0.1702325581395349,1266
White | M | 3,0.16832669322709162,0.1693227091633466,0.17031872509960158,0.15338645418326693,1182
Black | M | 2,0.17825112107623317,0.17600896860986548,0.1726457399103139,0.1726457399103139,1037
White | M | 4,0.1346153846153846,0.13313609467455623,0.15384615384615385,0.13313609467455623,756
Black | M | 3,0.14339622641509434,0.13962264150943396,0.13773584905660377,0.14528301886792452,622
Black | M | 1,0.1919191919191919,0.18787878787878787,0.18585858585858586,0.20404040404040405,619
White | M | 5,0.06532663316582915,0.09296482412060302,0.135678391959799,0.11557788944723618,443
White | F | 2,0.22608695652173913,0.22318840579710145,0.2028985507246377,0.2318840579710145,421
White | M | 1,0.14868804664723032,0.1749271137026239,0.17784256559766765,0.1836734693877551,394
White | F | 3,0.13602941176470587,0.13970588235294118,0.10294117647058823,0.1323529411764706,329
Unknown or Legacy | M | 2,0.17843866171003717,0.17100371747211895,0.1821561338289963,0.17843866171003717,297
Black | M | 4,0.08849557522123894,0.13274336283185842,0.1504424778761062,0.1592920353982301,256
Unknown or Legacy | M | 3,0.15706806282722513,0.1518324607329843,0.17277486910994763,0.18324607329842932,222
Black | F | 2,0.13989637305699482,0.14507772020725387,0.12435233160621761,0.15544041450777202,209
South Asian | M | 2,0.13186813186813187,0.10989010989010989,0.13736263736263737,0.10989010989010989,201
