group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
White | M,0.14758064516129032,0.15456989247311828,0.16693548387096774,0.15188172043010753,4273
Black | M,0.15644298065047343,0.16179497735693701,0.16591189790037053,0.16797035817208728,2864
White | F,0.15500945179584122,0.15500945179584122,0.1446124763705104,0.16446124763705103,1228
Unknown or Legacy | M,0.1553973902728351,0.15776986951364175,0.17793594306049823,0.17793594306049823,936
East/Southeast Asian | M,0.11773940345368916,0.0989010989010989,0.14756671899529042,0.10989010989010989,695
South Asian | M,0.13427561837455831,0.12014134275618374,0.1431095406360424,0.13250883392226148,610
Black | F,0.1336996336996337,0.1336996336996337,0.14102564102564102,0.1575091575091575,600
Middle-Eastern | M,0.13529411764705881,0.11176470588235295,0.16862745098039217,0.13725490196078433,552
Latino | M,0.17843866171003717,0.17472118959107807,0.17843866171003717,0.13382899628252787,290
Indigenous | M,0.1261682242990654,0.1261682242990654,0.11214953271028037,0.11682242990654206,257
Unknown or Legacy | F,0.08152173913043478,0.07065217391304347,0.08695652173913043,0.09239130434782608,199
East/Southeast Asian | F,0.057971014492753624,0.06521739130434782,0.09420289855072464,0.08695652173913043,144
Indigenous | F,0.11475409836065574,0.06557377049180328,0.07377049180327869,0.1721311475409836,135
South Asian | F,0.10309278350515463,0.09278350515463918,0.09278350515463918,0.12371134020618557,102
Middle-Eastern | F,0.10606060606060606,0.10606060606060606,0.15151515151515152,0.13636363636363635,71
Latino | F,0.05263157894736842,0.14035087719298245,0.12280701754385964,0.10526315789473684,60
