group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
M | 2,0.17159361196058442,0.16411824668705402,0.1709140332993544,0.16038056405028883,3378
M | 3,0.15695864828812806,0.15384615384615385,0.16051578479324144,0.14895509115162295,2601
M | 1,0.17461482024944974,0.1724137931034483,0.18561995597945707,0.18561995597945707,1598
M | 4,0.11720510894064613,0.1247182569496619,0.15101427498121714,0.13598797896318557,1479
F | 2,0.16844919786096257,0.16310160427807488,0.1537433155080214,0.18449197860962566,859
M | 5,0.0700280112044818,0.08823529411764706,0.13165266106442577,0.11204481792717087,785
F | 3,0.12686567164179105,0.11567164179104478,0.11380597014925373,0.13059701492537312,609
F | 1,0.13527851458885942,0.15384615384615385,0.14854111405835543,0.15649867374005305,414
M | 0,0.12195121951219512,0.16260162601626016,0.18699186991869918,0.15447154471544716,411
F | 4,0.07482993197278912,0.06462585034013606,0.08163265306122448,0.09523809523809523,334
M | 6,0.0365296803652968,0.045662100456621,0.1187214611872146,0.0958904109589041,225
F | 0,0.11510791366906475,0.14388489208633093,0.16546762589928057,0.19424460431654678,146
F | 5,0.09166666666666666,0.08333333333333333,0.1,0.1,123
