Arrest_Quarter,Perceived_Race,Sex,Age_group__at_arrest_,ArrestLocDiv,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,cfs_list
4,Black,M,0,31,Warrant,0,0,0,0,0,1,"[[4, 'Black', 'M', 0, '13', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [4, 'Black', 'M', 0, '51', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [4, 'Black', 'M', 0, '43', 'Warrant', 0, 1, 0, 0, 0, 0, 1], [4, 'Black', 'M', 0, '43', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 0, '51', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [4, 'Black', 'M', 0, '52', 'Warrant', 0, 0, 0, 1, 0, 0, 1], [4, 'Black', 'M', 0, '53', 'Warrant', 1, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 0, '52', 'Warrant', 0, 1, 0, 0, 0, 0, 1], [4, 'Black', 'M', 0, '51', 'Warrant', 0, 1, 0, 1, 0, 1, 1], [4, 'Black', 'M', 0, '51', 'Warrant', 0, 1, 0, 1, 0, 0, 1]]"
1,South Asian,M,3,XX,Assault,0,0,0,0,0,1,"[[1, 'South Asian', 'M', 3, '53', 'Assault', 0, 0, 0, 0, 0, 0, 1], [1, 'South Asian', 'M', 3, '42', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '23', 'Assault', 1, 0, 1, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '42', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '53', 'Assault', 0, 1, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '53', 'Assault', 0, 0, 0, 0, 0, 0, 1], [1, 'South Asian', 'M', 3, '53', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '31', 'Assault', 0, 0, 0, 0, 0, 0, 1], [1, 'South Asian', 'M', 3, '31', 'Assault', 1, 0, 0, 0, 0, 1, 1]]"
4,South Asian,M,3,XX,Other Statute & Other Incident Type,0,0,0,0,0,0,[]
1,White,M,5,11,Assault,0,0,0,0,0,1,"[[1, 'White', 'M', 5, '53', 'Assault', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 5, '51', 'Assault', 0, 0, 1, 1, 0, 1, 1], [1, 'White', 'M', 5, '52', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'White', 'M', 5, '51', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'White', 'M', 5, '14', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'White', 'M', 5, '53', 'Assault', 1, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 5, '14', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'White', 'M', 5, '53', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'White', 'M', 5, '52', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'White', 'M', 5, '53', 'Assault', 1, 0, 0, 0, 1, 1, 1]]"
3,Black,M,0,32,Robbery & Theft,0,0,0,0,0,1,"[[3, 'Black', 'M', 0, '32', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '32', 'Robbery & Theft', 0, 1, 0, 1, 0, 1, 1], [3, 'Black', 'M', 0, '51', 'Robbery & Theft', 0, 0, 0, 1, 0, 1, 1], [3, 'Black', 'M', 0, '12', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '43', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '23', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '55', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '52', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 0, '32', 'Robbery & Theft', 0, 1, 0, 0, 0, 0, 1], [3, 'Black', 'M', 0, '53', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1]]"
4,Black,M,1,43,Drug Related,0,0,0,0,0,1,"[[4, 'Black', 'M', 1, '53', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '51', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '32', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '32', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '14', 'Drug Related', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '43', 'Drug Related', 0, 0, 0, 1, 0, 1, 1], [4, 'Black', 'M', 1, '43', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '23', 'Drug Related', 1, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '43', 'Drug Related', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '32', 'Drug Related', 0, 1, 0, 0, 0, 1, 1]]"
0,White,M,3,32,Harassment/Threatening,0,0,0,0,0,1,"[[0, 'White', 'M', 3, '52', 'Harassment/Threatening', 1, 0, 1, 1, 0, 1, 1], [0, 'White', 'M', 3, '51', 'Harassment/Threatening', 1, 0, 0, 0, 0, 1, 1], [0, 'White', 'M', 3, '51', 'Harassment/Threatening', 0, 1, 0, 1, 0, 1, 1], [0, 'White', 'M', 3, '52', 'Harassment/Threatening', 0, 0, 0, 0, 0, 1, 1], [0, 'White', 'M', 3, '51', 'Harassment/Threatening', 1, 1, 0, 1, 0, 1, 1], [0, 'White', 'M', 3, '52', 'Harassment/Threatening', 0, 0, 1, 0, 0, 1, 1], [0, 'White', 'M', 3, '52', 'Harassment/Threatening', 1, 0, 0, 0, 0, 1, 1]]"
0,Black,M,1,23,Fraud,0,0,0,0,0,0,[]
0,Unknown or Legacy,M,1,23,Warrant,0,0,0,0,0,1,"[[0, 'Unknown or Legacy', 'M', 1, '53', 'Warrant', 0, 0, 0, 0, 1, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '52', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '33', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '13', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '42', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '32', 'Warrant', 1, 0, 0, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '22', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '13', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '42', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '11', 'Warrant', 0, 0, 0, 0, 0, 1, 1]]"
3,Indigenous,F,1,XX,Assault,0,1,0,0,1,0,"[[3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 1, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 0, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 1, 1, 1, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 0, 0, 1, 1, 1], [3, 'Indigenous', 'F', 1, '14', 'Assault', 0, 1, 1, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 0, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 1, 1, 0, 1, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 1, 1, 0, 0, 1, 0, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 0, 0, 1, 1, 1], [3, 'Indigenous', 'F', 1, '53', 'Assault', 0, 1, 0, 1, 1, 0, 1]]"
