case,attribute,accuracy,f1,roc_auc,TPR_gap,FPR_gap,FNR_gap,SelectionRate_gap,EO_gap_max
Case 1 cat-encoded + ord-encoded + bin-passthrough,Perceived_Race,0.883220651505839,0.11525029103608847,0.8119406972944421,0.08384458077709611,0.008067226890756302,0.08384458077709611,0.013662393363812038,0.08384458077709611
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Perceived_Race,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.17091836734693877,0.049344943597862664,0.17091836734693877,0.0829915202328583,0.17091836734693877
Case 3 one-hot + ord-encoded + one-hot,Perceived_Race,0.90019975414874,0.45897542690545606,0.8961528389557369,0.20535714285714285,0.02221934927817281,0.2053571428571429,0.05807391951817709,0.20535714285714285
Case 2 one-hot + ord-encoded + bin-passthrough,Perceived_Race,0.8999692685925015,0.45614035087719296,0.8961730108956453,0.2780612244897959,0.023382891618185735,0.27806122448979587,0.06566727814721394,0.2780612244897959
Case 4 one-hot + ord-encoded + one-hot + SMOTE class rebalance,Perceived_Race,0.8403503380454825,0.5211981566820276,0.8824255400820082,0.494047619047619,0.10524455936220642,0.49404761904761907,0.16780930386011217,0.494047619047619
Case 1 cat-encoded + ord-encoded + bin-passthrough,Race_Sex_intersection,0.883220651505839,0.11525029103608847,0.8119406972944421,0.3333333333333333,0.013232514177693762,0.33333333333333337,0.02280130293159609,0.3333333333333333
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Race_Sex_intersection,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.5,0.12580708276266875,0.5,0.1726383484651967,0.5
Case 2 one-hot + ord-encoded + bin-passthrough,Race_Sex_intersection,0.8999692685925015,0.45614035087719296,0.8961730108956453,0.5128205128205128,0.03128859613009469,0.5128205128205128,0.10264701046747411,0.5128205128205128
Case 3 one-hot + ord-encoded + one-hot,Race_Sex_intersection,0.90019975414874,0.45897542690545606,0.8961528389557369,0.5794871794871794,0.036228900782214905,0.5794871794871794,0.07968653010552451,0.5794871794871794
Case 4 one-hot + ord-encoded + one-hot + SMOTE class rebalance,Race_Sex_intersection,0.8403503380454825,0.5211981566820276,0.8824255400820082,0.64562569213732,0.192260189378345,0.64562569213732,0.24878957169459964,0.64562569213732
Case 1 cat-encoded + ord-encoded + bin-passthrough,Sex,0.883220651505839,0.11525029103608847,0.8119406972944421,0.00804708590142534,0.0034741657510486412,0.008047085901425444,0.0030235588351355206,0.00804708590142534
Case 5 one-hot + ord-encoded + one-hot + SMOTE + multi-adversarial debiasing,Sex,0.8402735095267363,0.5208573404010141,0.8812957435807907,0.04600379595727688,0.017845337719086085,0.04600379595727688,0.03038223640576107,0.04600379595727688
Case 3 one-hot + ord-encoded + one-hot,Sex,0.90019975414874,0.45897542690545606,0.8961528389557369,0.0478674220411715,0.0013263984385737428,0.04786742204117156,0.011768647337668664,0.0478674220411715
Case 2 one-hot + ord-encoded + bin-passthrough,Sex,0.8999692685925015,0.45614035087719296,0.8961730108956453,0.061851774452577724,0.0016584779318780211,0.061851774452577835,0.01354703224148262,0.061851774452577724
Case 4 one-hot + ord-encoded + one-hot + SMOTE class rebalance,Sex,0.8403503380454825,0.5211981566820276,0.8824255400820082,0.09143791205173502,0.04038528131548012,0.09143791205173496,0.05543213753204146,0.09143791205173502
