group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,28,3710,10,525,0.05063291139240506,0.002688172043010753,0.9493670886075949,0.00889304937982682
Black | M,2864,39,2407,22,396,0.0896551724137931,0.009057225195553726,0.9103448275862069,0.021298882681564244
White | F,1228,14,1044,14,156,0.08235294117647059,0.013232514177693762,0.9176470588235294,0.02280130293159609
Unknown or Legacy | M,936,4,843,0,89,0.043010752688172046,0.0,0.956989247311828,0.004273504273504274
East/Southeast Asian | M,695,5,634,3,53,0.08620689655172414,0.004709576138147566,0.9137931034482759,0.011510791366906475
South Asian | M,610,3,566,0,41,0.06818181818181818,0.0,0.9318181818181818,0.004918032786885246
Black | F,600,2,544,2,52,0.037037037037037035,0.003663003663003663,0.9629629629629629,0.006666666666666667
Middle-Eastern | M,552,0,506,4,42,0.0,0.00784313725490196,1.0,0.007246376811594203
Latino | M,290,0,267,2,21,0.0,0.007434944237918215,1.0,0.006896551724137931
Indigenous | M,257,1,214,0,42,0.023255813953488372,0.0,0.9767441860465116,0.0038910505836575876
Unknown or Legacy | F,199,1,183,1,14,0.06666666666666667,0.005434782608695652,0.9333333333333333,0.010050251256281407
East/Southeast Asian | F,144,0,138,0,6,0.0,0.0,1.0,0.0
Indigenous | F,135,0,121,1,13,0.0,0.00819672131147541,1.0,0.007407407407407408
South Asian | F,102,1,97,0,4,0.2,0.0,0.8,0.00980392156862745
Middle-Eastern | F,71,0,66,0,5,0.0,0.0,1.0,0.0
Latino | F,60,1,57,0,2,0.3333333333333333,0.0,0.6666666666666666,0.016666666666666666
