group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,212,3625,95,341,0.3833634719710669,0.025537634408602152,0.6166365280289331,0.07184647788439036
Black | M,2864,165,2353,76,270,0.3793103448275862,0.03128859613009469,0.6206896551724138,0.08414804469273743
White | F,1228,53,1025,33,117,0.31176470588235294,0.031190926275992438,0.6882352941176471,0.07003257328990228
Unknown or Legacy | M,936,23,820,23,70,0.24731182795698925,0.027283511269276393,0.7526881720430108,0.049145299145299144
East/Southeast Asian | M,695,14,623,14,44,0.2413793103448276,0.02197802197802198,0.7586206896551724,0.04028776978417266
South Asian | M,610,8,561,5,36,0.18181818181818182,0.0088339222614841,0.8181818181818182,0.021311475409836064
Black | F,600,11,530,16,43,0.2037037037037037,0.029304029304029304,0.7962962962962963,0.045
Middle-Eastern | M,552,14,499,11,28,0.3333333333333333,0.021568627450980392,0.6666666666666666,0.04528985507246377
Latino | M,290,4,264,5,17,0.19047619047619047,0.01858736059479554,0.8095238095238095,0.03103448275862069
Indigenous | M,257,25,209,5,18,0.5813953488372093,0.02336448598130841,0.4186046511627907,0.11673151750972763
Unknown or Legacy | F,199,8,183,1,7,0.5333333333333333,0.005434782608695652,0.4666666666666667,0.04522613065326633
East/Southeast Asian | F,144,2,136,2,4,0.3333333333333333,0.014492753623188406,0.6666666666666666,0.027777777777777776
Indigenous | F,135,2,120,2,11,0.15384615384615385,0.01639344262295082,0.8461538461538461,0.02962962962962963
South Asian | F,102,2,97,0,3,0.4,0.0,0.6,0.0196078431372549
Middle-Eastern | F,71,1,66,0,4,0.2,0.0,0.8,0.014084507042253521
Latino | F,60,2,57,0,1,0.6666666666666666,0.0,0.3333333333333333,0.03333333333333333
