group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,429,3139,581,124,0.7757685352622061,0.15618279569892474,0.22423146473779385,0.23636789141118653
Black | M,2864,341,1962,467,94,0.7839080459770115,0.192260189378345,0.2160919540229885,0.28212290502793297
White | F,1228,116,898,160,54,0.6823529411764706,0.15122873345935728,0.3176470588235294,0.2247557003257329
Unknown or Legacy | M,936,63,687,156,30,0.6774193548387096,0.18505338078291814,0.3225806451612903,0.23397435897435898
East/Southeast Asian | M,695,34,583,54,24,0.5862068965517241,0.0847723704866562,0.41379310344827586,0.12661870503597122
South Asian | M,610,27,521,45,17,0.6136363636363636,0.07950530035335689,0.38636363636363635,0.1180327868852459
Black | F,600,33,489,57,21,0.6111111111111112,0.1043956043956044,0.3888888888888889,0.15
Middle-Eastern | M,552,18,472,38,24,0.42857142857142855,0.07450980392156863,0.5714285714285714,0.10144927536231885
Latino | M,290,5,244,25,16,0.23809523809523808,0.09293680297397769,0.7619047619047619,0.10344827586206896
Indigenous | M,257,38,184,30,5,0.8837209302325582,0.14018691588785046,0.11627906976744186,0.26459143968871596
Unknown or Legacy | F,199,12,173,11,3,0.8,0.059782608695652176,0.2,0.11557788944723618
East/Southeast Asian | F,144,2,132,6,4,0.3333333333333333,0.043478260869565216,0.6666666666666666,0.05555555555555555
Indigenous | F,135,6,109,13,7,0.46153846153846156,0.10655737704918032,0.5384615384615384,0.14074074074074075
South Asian | F,102,3,95,2,2,0.6,0.020618556701030927,0.4,0.049019607843137254
Middle-Eastern | F,71,2,62,4,3,0.4,0.06060606060606061,0.6,0.08450704225352113
Latino | F,60,2,57,0,1,0.6666666666666666,0.0,0.3333333333333333,0.03333333333333333
