group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,427,3171,549,126,0.7721518987341772,0.14758064516129032,0.22784810126582278,0.2284109524923941
Black | M,2864,308,2049,380,127,0.7080459770114943,0.15644298065047343,0.29195402298850576,0.24022346368715083
White | F,1228,123,894,164,47,0.7235294117647059,0.15500945179584122,0.27647058823529413,0.23371335504885993
Unknown or Legacy | M,936,60,712,131,33,0.6451612903225806,0.1553973902728351,0.3548387096774194,0.20405982905982906
East/Southeast Asian | M,695,37,562,75,21,0.6379310344827587,0.11773940345368916,0.3620689655172414,0.16115107913669063
South Asian | M,610,34,490,76,10,0.7727272727272727,0.13427561837455831,0.22727272727272727,0.18032786885245902
Black | F,600,31,473,73,23,0.5740740740740741,0.1336996336996337,0.42592592592592593,0.17333333333333334
Middle-Eastern | M,552,28,441,69,14,0.6666666666666666,0.13529411764705881,0.3333333333333333,0.17572463768115942
Latino | M,290,13,221,48,8,0.6190476190476191,0.17843866171003717,0.38095238095238093,0.2103448275862069
Indigenous | M,257,37,187,27,6,0.8604651162790697,0.1261682242990654,0.13953488372093023,0.2490272373540856
Unknown or Legacy | F,199,12,169,15,3,0.8,0.08152173913043478,0.2,0.135678391959799
East/Southeast Asian | F,144,3,130,8,3,0.5,0.057971014492753624,0.5,0.0763888888888889
Indigenous | F,135,7,108,14,6,0.5384615384615384,0.11475409836065574,0.46153846153846156,0.15555555555555556
South Asian | F,102,5,87,10,0,1.0,0.10309278350515463,0.0,0.14705882352941177
Middle-Eastern | F,71,3,59,7,2,0.6,0.10606060606060606,0.4,0.14084507042253522
Latino | F,60,2,54,3,1,0.6666666666666666,0.05263157894736842,0.3333333333333333,0.08333333333333333
