group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,446,3071,649,107,0.8065099457504521,0.17446236559139786,0.19349005424954793,0.25626023870816755
Black | M,2864,330,2003,426,105,0.7586206896551724,0.1753808151502676,0.2413793103448276,0.2639664804469274
White | F,1228,119,900,158,51,0.7,0.14933837429111532,0.3,0.2255700325732899
Unknown or Legacy | M,936,71,677,166,22,0.7634408602150538,0.19691577698695137,0.23655913978494625,0.2532051282051282
East/Southeast Asian | M,695,41,551,86,17,0.7068965517241379,0.13500784929356358,0.29310344827586204,0.18273381294964028
South Asian | M,610,35,480,86,9,0.7954545454545454,0.1519434628975265,0.20454545454545456,0.19836065573770492
Black | F,600,34,462,84,20,0.6296296296296297,0.15384615384615385,0.37037037037037035,0.19666666666666666
Middle-Eastern | M,552,31,428,82,11,0.7380952380952381,0.1607843137254902,0.2619047619047619,0.20471014492753623
Latino | M,290,10,226,43,11,0.47619047619047616,0.15985130111524162,0.5238095238095238,0.18275862068965518
Indigenous | M,257,39,177,37,4,0.9069767441860465,0.17289719626168223,0.09302325581395349,0.29571984435797666
Unknown or Legacy | F,199,12,168,16,3,0.8,0.08695652173913043,0.2,0.1407035175879397
East/Southeast Asian | F,144,4,126,12,2,0.6666666666666666,0.08695652173913043,0.3333333333333333,0.1111111111111111
Indigenous | F,135,10,105,17,3,0.7692307692307693,0.13934426229508196,0.23076923076923078,0.2
South Asian | F,102,5,86,11,0,1.0,0.1134020618556701,0.0,0.1568627450980392
Middle-Eastern | F,71,3,56,10,2,0.6,0.15151515151515152,0.4,0.18309859154929578
Latino | F,60,3,54,3,0,1.0,0.05263157894736842,0.0,0.1
