case,seed,cost_mean,availability_mean,choice_mean,cost_avg_gap,cost_max_gap,availability_avg_gap,availability_max_gap,choice_avg_gap,choice_max_gap
Baseline,1,0.9216944801026957,0.779,7.181,0.18564093676397075,0.39038003562127827,0.0916939121759599,0.209319809227878,1.09090635825726,2.294682024201446
Baseline,2,0.8514007308160779,0.821,7.643,0.10837061273906573,0.22734799930898822,0.0819883278701556,0.19789664097185924,0.9577460850951695,1.8924747248067293
Baseline,3,0.9353658536585366,0.82,7.751,0.19340440245166834,0.40920918341295137,0.04655840637861108,0.09303129778969454,0.673508627990972,1.4359781675584224
Baseline,4,0.9570446735395189,0.582,4.989,0.08699515982289385,0.1770285377776829,0.098694922996074,0.2130104214809888,1.0876959114567262,2.3083579524340396
Baseline,5,0.8394648829431438,0.897,8.652,0.12449927162673113,0.2982903510420962,0.05090984979732744,0.10765954297654094,0.6817635033232357,1.5183103550577721
Baseline,6,0.9216944801026957,0.779,7.181,0.18564093676397075,0.39038003562127827,0.0916939121759599,0.209319809227878,1.09090635825726,2.294682024201446
Baseline,7,0.8514007308160779,0.821,7.643,0.10837061273906573,0.22734799930898822,0.0819883278701556,0.19789664097185924,0.9577460850951695,1.8924747248067293
Baseline,8,0.9353658536585366,0.82,7.751,0.19340440245166834,0.40920918341295137,0.04655840637861108,0.09303129778969454,0.673508627990972,1.4359781675584224
Baseline,9,0.9570446735395189,0.582,4.989,0.08699515982289385,0.1770285377776829,0.098694922996074,0.2130104214809888,1.0876959114567262,2.3083579524340396
Baseline,10,0.8394648829431438,0.897,8.652,0.12449927162673113,0.2982903510420962,0.05090984979732744,0.10765954297654094,0.6817635033232357,1.5183103550577721
Debiased-1,1,0.8972081218274112,0.788,7.139,0.09775262538613427,0.21230653306779126,0.13149535461586637,0.3071881295927517,1.269528017679362,2.76462322628867
Debiased-1,2,0.961340206185567,0.776,6.863,0.06145134192013086,0.16356858206818928,0.062315356613731186,0.16288822472988218,0.7159954482931982,1.9541499020972346
Debiased-1,3,0.8812589413447782,0.699,6.246,0.08888058502668224,0.2018117640631637,0.14554567604333538,0.279058101190585,1.5045583864593866,2.9365364090659853
Debiased-1,4,1.0,0.813,7.426,0.14823325653459554,0.32168326163781,0.07741211807845168,0.19881413774086631,1.0991744332641948,2.7754098936520677
Debiased-1,5,0.975,0.88,8.203,0.10554754467836445,0.2883490635432651,0.06190390965648352,0.13964999700607375,0.7339475263471561,1.804572926216438
Debiased-1,6,0.8972081218274112,0.788,7.139,0.09775262538613427,0.21230653306779126,0.13149535461586637,0.3071881295927517,1.269528017679362,2.76462322628867
Debiased-1,7,0.961340206185567,0.776,6.863,0.06145134192013086,0.16356858206818928,0.062315356613731186,0.16288822472988218,0.7159954482931982,1.9541499020972346
Debiased-1,8,0.8812589413447782,0.699,6.246,0.08888058502668224,0.2018117640631637,0.14554567604333538,0.279058101190585,1.5045583864593866,2.9365364090659853
Debiased-1,9,1.0,0.813,7.426,0.14823325653459554,0.32168326163781,0.07741211807845168,0.19881413774086631,1.0991744332641948,2.7754098936520677
Debiased-1,10,0.975,0.88,8.203,0.10554754467836445,0.2883490635432651,0.06190390965648352,0.13964999700607375,0.7339475263471561,1.804572926216438
Debiased-2,1,0.9763681592039801,0.804,7.336,0.08426661526576862,0.18880151604480508,0.08036402623267465,0.16719665012222676,0.8673327968383099,2.092811452939385
Debiased-2,2,0.9219330855018587,0.807,7.66,0.09659074902196473,0.21300571968577528,0.0732951899447674,0.1468725455804624,0.7225999687894902,1.6303700894410804
Debiased-2,3,0.9722572509457755,0.793,7.121,0.06136268232004153,0.17407787340011002,0.05873406243520637,0.10797633511895903,0.6551851145011364,1.4211728955970981
Debiased-2,4,0.8010695187165775,0.935,9.217,0.07921452515910891,0.18936401265137645,0.03503800180384103,0.07539028006864268,0.37012783630354246,0.7406257809766578
Debiased-2,5,0.7478991596638656,0.952,9.261,0.1051465507353165,0.22639130165413232,0.03237358002782186,0.06933840337499435,0.46433215978636583,0.8645670860922573
Debiased-2,6,0.9763681592039801,0.804,7.336,0.08426661526576862,0.18880151604480508,0.08036402623267465,0.16719665012222676,0.8673327968383099,2.092811452939385
Debiased-2,7,0.9219330855018587,0.807,7.66,0.09659074902196473,0.21300571968577528,0.0732951899447674,0.1468725455804624,0.7225999687894902,1.6303700894410804
Debiased-2,8,0.9722572509457755,0.793,7.121,0.06136268232004153,0.17407787340011002,0.05873406243520637,0.10797633511895903,0.6551851145011364,1.4211728955970981
Debiased-2,9,0.8010695187165775,0.935,9.217,0.07921452515910891,0.18936401265137645,0.03503800180384103,0.07539028006864268,0.37012783630354246,0.7406257809766578
Debiased-2,10,0.7478991596638656,0.952,9.261,0.1051465507353165,0.22639130165413232,0.03237358002782186,0.06933840337499435,0.46433215978636583,0.8645670860922573
