attribute,metric,case,avg_gap,max_gap
Perceived_Race,TPR,Baseline,0.1714903754213592,0.4107142857142857
Perceived_Race,FPR,Baseline,0.04789020504591409,0.10410409325020331
Perceived_Race,FNR,Baseline,0.1714903754213592,0.4107142857142857
Perceived_Race,SelectionRate,Baseline,0.0756979780533066,0.16119927416694158
Sex,TPR,Baseline,0.06988454678961065,0.06988454678961065
Sex,FPR,Baseline,0.0364838271528157,0.0364838271528157
Sex,FNR,Baseline,0.06988454678961065,0.06988454678961065
Sex,SelectionRate,Baseline,0.04968117299496941,0.04968117299496941
Age_group__at_arrest_,TPR,Baseline,0.09619532846219264,0.25274725274725274
Age_group__at_arrest_,FPR,Baseline,0.06371144850012592,0.13961492314242246
Age_group__at_arrest_,FNR,Baseline,0.09619532846219266,0.25274725274725274
Age_group__at_arrest_,SelectionRate,Baseline,0.08907426072334827,0.2043340667595504
Race_Sex_intersection,TPR,Baseline,0.1875821011634537,0.5038759689922481
Race_Sex_intersection,FPR,Baseline,0.06510877357489805,0.1844380403458213
Race_Sex_intersection,FNR,Baseline,0.1875821011634537,0.5038759689922481
Race_Sex_intersection,SelectionRate,Baseline,0.08972773783812939,0.24596523898199874
Perceived_Race,TPR,Debiased-1,0.13432537516613183,0.375
Perceived_Race,FPR,Debiased-1,0.027437623159946894,0.06185958254269448
Perceived_Race,FNR,Debiased-1,0.13432537516613183,0.375
Perceived_Race,SelectionRate,Debiased-1,0.05476851310831967,0.1076415071392085
Sex,TPR,Debiased-1,0.0286672067651631,0.0286672067651631
Sex,FPR,Debiased-1,0.01984952384023636,0.01984952384023636
Sex,FNR,Debiased-1,0.028667206765163072,0.028667206765163072
Sex,SelectionRate,Debiased-1,0.030686171171172866,0.030686171171172866
Age_group__at_arrest_,TPR,Debiased-1,0.07027651855523429,0.15122972265829404
Age_group__at_arrest_,FPR,Debiased-1,0.07016600415161005,0.15668813944676013
Age_group__at_arrest_,FNR,Debiased-1,0.0702765185552343,0.1512297226582941
Age_group__at_arrest_,SelectionRate,Debiased-1,0.09495009163194555,0.22030362627104755
Race_Sex_intersection,TPR,Debiased-1,0.21864337907302336,0.6666666666666667
Race_Sex_intersection,FPR,Debiased-1,0.0422415838394252,0.10588093149802208
Race_Sex_intersection,FNR,Debiased-1,0.21864337907302336,0.6666666666666666
Race_Sex_intersection,SelectionRate,Debiased-1,0.06631321773468112,0.18241775294847917
Perceived_Race,TPR,Debiased-2,0.11063102861021368,0.33333333333333337
Perceived_Race,FPR,Debiased-2,0.020562207957059202,0.050763576970191904
Perceived_Race,FNR,Debiased-2,0.11063102861021366,0.3333333333333333
Perceived_Race,SelectionRate,Debiased-2,0.04538719434317163,0.09418367346938775
Sex,TPR,Debiased-2,0.07701556456992031,0.07701556456992031
Sex,FPR,Debiased-2,0.03429402203165083,0.03429402203165083
Sex,FNR,Debiased-2,0.07701556456992034,0.07701556456992034
Sex,SelectionRate,Debiased-2,0.04874102400941796,0.04874102400941796
Age_group__at_arrest_,TPR,Debiased-2,0.0652393895733785,0.1471631205673759
Age_group__at_arrest_,FPR,Debiased-2,0.028151452446932783,0.06558074471460297
Age_group__at_arrest_,FNR,Debiased-2,0.06523938957337846,0.14716312056737588
Age_group__at_arrest_,SelectionRate,Debiased-2,0.04889095076494213,0.12614507965753144
Race_Sex_intersection,TPR,Debiased-2,0.15506306134696687,0.5238095238095238
Race_Sex_intersection,FPR,Debiased-2,0.04257267810116128,0.14428419803958295
Race_Sex_intersection,FNR,Debiased-2,0.15506306134696685,0.5238095238095238
Race_Sex_intersection,SelectionRate,Debiased-2,0.06269276849999728,0.19571984435797665
