Perceived_Race,Sex,Age_group__at_arrest_,support_baseline,fp_rate_baseline,present_baseline,support_debiased_1,fp_rate_debiased_1,present_debiased_1,support_debiased_2,fp_rate_debiased_2,present_debiased_2,delta_debiased_1_vs_baseline,delta_debiased_2_vs_baseline
*,*,1,2012.0,0.142,True,2012.0,0.164,True,2012.0,0.15,True,0.02200000000000002,0.008000000000000007
*,*,3,3210.0,0.122,True,3210.0,0.144,True,,,False,0.021999999999999992,
*,M,3,2601.0,0.13,True,2601.0,0.15,True,2601.0,0.151,True,0.01999999999999999,0.02099999999999999
White,*,3,1511.0,0.136,True,1511.0,0.156,True,1511.0,0.141,True,0.01999999999999999,0.004999999999999977
*,M,1,1598.0,0.153,True,1598.0,0.171,True,1598.0,0.151,True,0.018000000000000016,-0.0020000000000000018
*,*,*,13016.0,0.123,True,13016.0,0.14,True,13016.0,0.145,True,0.017000000000000015,0.021999999999999992
*,*,2,4237.0,0.15,True,4237.0,0.164,True,4237.0,0.152,True,0.014000000000000012,0.0020000000000000018
*,M,4,1479.0,0.101,True,1479.0,0.114,True,1479.0,0.149,True,0.012999999999999998,0.04799999999999999
White,*,*,5501.0,0.136,True,5501.0,0.146,True,5501.0,0.147,True,0.009999999999999981,0.010999999999999982
*,M,2,3378.0,0.155,True,3378.0,0.164,True,3378.0,0.157,True,0.009000000000000008,0.0020000000000000018
Black,M,*,2864.0,0.156,True,2864.0,0.154,True,,,False,-0.0020000000000000018,
Black,*,*,3464.0,0.149,True,3464.0,0.15,True,3464.0,0.147,True,0.0010000000000000009,-0.0020000000000000018
White,*,2,1687.0,0.177,True,1687.0,0.177,True,1687.0,0.165,True,0.0,-0.011999999999999983
*,F,*,,,False,2539.0,0.128,True,,,False,,
*,M,*,10477.0,0.129,True,,,False,10477.0,0.15,True,,0.02099999999999999
White,M,*,,,False,,,False,4273.0,0.152,True,,
