case,seed,Perceived_Race_gap,Sex_gap,Race_Sex_intersection_gap,avg_gap
Baseline,1,0.041490604214314275,0.04972247368126051,0.06046797241377095,0.05056035010311524
Baseline,2,0.04831056385188122,0.04462994827238044,0.06481420396776144,0.0525849053640077
Baseline,3,0.046106773475987524,0.04639361670271554,0.0663085900696768,0.05293632674945995
Baseline,4,0.051949789882808454,0.054246624882236555,0.07101420074577453,0.05907020517027318
Baseline,5,0.06128884438963915,0.0528595691489321,0.07335893445016008,0.0625024493295771
Debiased-1,1,0.028591775170143472,0.018766138487514183,0.03932248868657132,0.02889346744807632
Debiased-1,2,0.023039069179664712,0.021827796243701042,0.038872443996109445,0.027913103139825063
Debiased-1,3,0.031974586898720486,0.014069996982491534,0.042695612571121276,0.0295800654841111
Debiased-1,4,0.03264489024184334,0.034614392363630495,0.04767523562202262,0.03831150607583215
Debiased-1,5,0.026043151550980838,0.044015889139964015,0.043844844211794604,0.03796796163424648
Debiased-2,1,0.030445041151384803,0.038940063682481346,0.04143298490303064,0.03693936324563226
Debiased-2,2,0.029169004516339827,0.02625366727093617,0.0453922291018498,0.03360496696304193
Debiased-2,3,0.02551918430631178,0.016361153532826744,0.03433780704938815,0.02540604829617556
Debiased-2,4,0.03649755737883971,0.017656071603249085,0.05133461412701179,0.03516274770303353
Debiased-2,5,0.014365592797558724,0.030395063264022776,0.0367266817801973,0.0271624459472596
