case,seed,accuracy,f1,roc_auc
Baseline,1,0.8464197910264291,0.5282039178664149,0.8867840500107435
Baseline,2,0.8383527965580824,0.5209471766848816,0.8818877242694456
Baseline,3,0.8400430239704979,0.5274625510667272,0.884033671751898
Baseline,4,0.8366625691456668,0.5250223413762288,0.884691456050351
Baseline,5,0.8385832821143209,0.5251977401129942,0.8858527274924796
Debiased-1,1,0.8436539643515673,0.5277326525876073,0.8834757959103281
Debiased-1,2,0.83720036877689,0.5241410285200988,0.8812776699702765
Debiased-1,3,0.833358942839582,0.5193884334145801,0.8838478437007592
Debiased-1,4,0.8379686539643516,0.5212258796821793,0.8847834188332617
Debiased-1,5,0.8397357098955132,0.5180221811460258,0.8823065228387768
Debiased-2,1,0.8340503995082975,0.5182872435325602,0.8846996535238505
Debiased-2,2,0.8367393976644131,0.5167159426881964,0.8807251938296805
Debiased-2,3,0.8309772587584512,0.5126273814798405,0.8797958017744592
Debiased-2,4,0.8315918869084205,0.5199299167761717,0.8809691316161724
Debiased-2,5,0.8337430854333129,0.5108499095840867,0.8819921371400946
